 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -7.3146 -7.2381 -7.1640 -7.0827 -6.9862 -6.8634 -6.6888 -6.4660 -6.2323 -6.0089
 -5.7984 -5.5956 -5.3915 -5.1818 -4.9665 -4.4180 -3.8720 -3.3610 -2.9182 -2.5632
 -6.9557 -6.8403 -6.7451 -6.6569 -6.5636 -6.4555 -6.3162 -6.1430 -5.9540 -5.7604
 -5.5642 -5.3621 -5.1500 -4.9283 -4.7017 -4.1405 -3.6074 -3.1260 -2.7180 -2.3934
 -2.1551
 -6.7883 -6.6057 -6.4538 -6.3283 -6.2190 -6.1117 -5.9916 -5.8491 -5.6909 -5.5223
 -5.3436 -5.1519 -4.9438 -4.7210 -4.4911 -3.9288 -3.4096 -2.9479 -2.5609 -2.2545
 -2.0281 -1.8761
 -6.7908 -6.5236 -6.2842 -6.1165 -5.9823 -5.8587 -5.7375 -5.6082 -5.4672 -5.3159
 -5.1534 -4.9766 -4.7808 -4.5654 -4.3380 -3.7783 -3.2690 -2.8198 -2.4428 -2.1446
 -1.9223 -1.7717 -1.6788 -1.6246
 -6.9257 -6.5721 -6.2641 -6.0110 -5.8079 -5.6489 -5.5267 -5.4198 -5.3008 -5.1621
 -5.0085 -4.8421 -4.6601 -4.4577 -4.2378 -3.6818 -3.1771 -2.7344 -2.3604 -2.0624
 -1.8380 -1.6825 -1.5859 -1.5310 -1.5022 -1.4882 -1.4822 -1.4792 -1.4740 -1.4596
 -7.1585 -6.7294 -6.3582 -6.0423 -5.7788 -5.5615 -5.3831 -5.2361 -5.1158 -5.0108
 -4.8950 -4.7498 -4.5788 -4.3895 -4.1815 -3.6320 -3.1268 -2.6860 -2.3108 -2.0074
 -1.7753 -1.6097 -1.5039 -1.4432 -1.4121 -1.3987 -1.3955 -1.3968 -1.3989 -1.3975
 -1.3881
 -7.4540 -6.9628 -6.5316 -6.1608 -5.8459 -5.5809 -5.3584 -5.1701 -5.0085 -4.8675
 -4.7432 -4.6281 -4.5010 -4.3423 -4.1540 -3.6222 -3.1136 -2.6704 -2.2915 -1.9792
 -1.7351 -1.5551 -1.4351 -1.3637 -1.3262 -1.3098 -1.3063 -1.3100 -1.3163 -1.3222
 -1.3245
 -7.7588 -7.2383 -6.7624 -6.3420 -5.9803 -5.6720 -5.4089 -5.1828 -4.9868 -4.8140
 -4.6581 -4.5151 -4.3824 -4.2527 -4.1081 -3.6388 -3.1294 -2.6804 -2.2956 -1.9734
 -1.7148 -1.5178 -1.3797 -1.2935 -1.2459 -1.2238 -1.2179 -1.2214 -1.2300 -1.2402
 -1.2494
 -7.9633 -7.4829 -7.0066 -6.5659 -6.1713 -5.8263 -5.5265 -5.2649 -5.0349 -4.8308
 -4.6470 -4.4786 -4.3212 -4.1728 -4.0308 -3.6486 -3.1788 -2.7226 -2.3300 -1.9972
 -1.7229 -1.5065 -1.3466 -1.2400 -1.1767 -1.1442 -1.1322 -1.1328 -1.1410 -1.1533
 -1.1667
 -8.0035 -7.5889 -7.1689 -6.7552 -6.3670 -6.0107 -5.6885 -5.3986 -5.1384 -4.9040
 -4.6917 -4.4977 -4.3181 -4.1496 -3.9897 -3.6189 -3.2233 -2.7860 -2.3844 -2.0407
 -1.7520 -1.5172 -1.3356 -1.2060 -1.1228 -1.0754 -1.0533 -1.0477 -1.0529 -1.0647
 -1.0798
