 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  y   
 -0.3608 -0.3617 -0.3657 -0.3673 -0.3622 -0.3470 -0.3198 -0.2854 -0.2677 -0.2656
 -0.2679 -0.2669 -0.2601 -0.2495 -0.2378 -0.2151 -0.2059 -0.2100 -0.2301 -0.2660
 -0.2330 -0.2295 -0.2354 -0.2454 -0.2547 -0.2596 -0.2568 -0.2460 -0.2425 -0.2488
 -0.2579 -0.2635 -0.2624 -0.2556 -0.2462 -0.2276 -0.2226 -0.2307 -0.2528 -0.2884
 -0.3336
 -0.1381 -0.1252 -0.1271 -0.1392 -0.1566 -0.1751 -0.1908 -0.1997 -0.2090 -0.2234
 -0.2395 -0.2522 -0.2580 -0.2564 -0.2503 -0.2357 -0.2340 -0.2454 -0.2696 -0.3055
 -0.3504 -0.4002
 -0.0760 -0.0524 -0.0454 -0.0529 -0.0712 -0.0961 -0.1232 -0.1474 -0.1685 -0.1909
 -0.2136 -0.2334 -0.2467 -0.2518 -0.2503 -0.2405 -0.2416 -0.2557 -0.2818 -0.3185
 -0.3634 -0.4136 -0.4657 -0.5172
 -0.0476 -0.0072  0.0125  0.0130 -0.0012 -0.0261 -0.0583 -0.0921 -0.1232 -0.1528
 -0.1815 -0.2076 -0.2282 -0.2410 -0.2456 -0.2424 -0.2461 -0.2625 -0.2903 -0.3279
 -0.3731 -0.4239 -0.4774 -0.5311 -0.5843 -0.6372 -0.6907 -0.7462 -0.8043 -0.8612
 -0.0541 -0.0084  0.0240  0.0416  0.0441  0.0316  0.0050 -0.0332 -0.0744 -0.1123
 -0.1465 -0.1771 -0.2033 -0.2233 -0.2353 -0.2414 -0.2479 -0.2664 -0.2956 -0.3341
 -0.3800 -0.4316 -0.4866 -0.5423 -0.5974 -0.6516 -0.7055 -0.7595 -0.8155 -0.8741
 -0.9322
 -0.0563 -0.0139  0.0169  0.0371  0.0467  0.0454  0.0334  0.0110 -0.0218 -0.0613
 -0.1025 -0.1411 -0.1739 -0.1996 -0.2182 -0.2372 -0.2472 -0.2675 -0.2980 -0.3373
 -0.3840 -0.4365 -0.4930 -0.5510 -0.6087 -0.6650 -0.7203 -0.7751 -0.8299 -0.8864
 -0.9458
 -0.0491 -0.0113  0.0151  0.0317  0.0402  0.0411  0.0343  0.0200 -0.0019 -0.0301
 -0.0623 -0.0965 -0.1309 -0.1630 -0.1901 -0.2281 -0.2436 -0.2660 -0.2980 -0.3382
 -0.3857 -0.4393 -0.4974 -0.5580 -0.6185 -0.6777 -0.7356 -0.7921 -0.8479 -0.9038
 -0.9611
 -0.0354 -0.0020  0.0206  0.0332  0.0381  0.0368  0.0305  0.0193  0.0031 -0.0180
 -0.0427 -0.0694 -0.0963 -0.1228 -0.1489 -0.2053 -0.2363 -0.2613 -0.2947 -0.3355
 -0.3835 -0.4378 -0.4971 -0.5598 -0.6233 -0.6857 -0.7466 -0.8058 -0.8636 -0.9208
 -0.9776
 -0.0086  0.0168  0.0335  0.0425  0.0434  0.0388  0.0301  0.0184  0.0041 -0.0128
 -0.0323 -0.0538 -0.0760 -0.0977 -0.1186 -0.1704 -0.2180 -0.2533 -0.2885 -0.3303
 -0.3785 -0.4332 -0.4932 -0.5574 -0.6235 -0.6892 -0.7536 -0.8161 -0.8768 -0.9362
 -0.9953
  0.0313  0.0522  0.0594  0.0612  0.0579  0.0496  0.0376  0.0235  0.0083 -0.0078
 -0.0247 -0.0426 -0.0613 -0.0801 -0.0992 -0.1234 -0.1887 -0.2420 -0.2794
