 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.2917 -1.2800 -1.2722 -1.2690 -1.2699 -1.2694 -1.2519 -1.2372 -1.2370 -1.2512
 -1.2780 -1.3134 -1.3520 -1.3910 -1.4296 -1.4679 -1.5065 -1.5457 -1.5861 -1.6287
 -1.6752
 -1.6806 -1.6200 -1.5608 -1.5069 -1.4589 -1.4170 -1.3808 -1.3491 -1.3216 -1.2982
 -1.2788 -1.2633 -1.2509 -1.2417 -1.2360 -1.2343 -1.2334 -1.2286 -1.2303 -1.2444
 -1.2711 -1.3079 -1.3498 -1.3927 -1.4349 -1.4759 -1.5165 -1.5567 -1.5971 -1.6384
 -1.6812
 -1.5996 -1.5528 -1.5075 -1.4643 -1.4257 -1.3915 -1.3614 -1.3345 -1.3102 -1.2881
 -1.2682 -1.2510 -1.2364 -1.2246 -1.2154 -1.2052 -1.2067 -1.2121 -1.2197 -1.2348
 -1.2610 -1.2978 -1.3418 -1.3885 -1.4348 -1.4797 -1.5234 -1.5659 -1.6076 -1.6493
 -1.6915
 -1.5054 -1.4706 -1.4370 -1.4048 -1.3755 -1.3496 -1.3269 -1.3067 -1.2880 -1.2702
 -1.2533 -1.2374 -1.2229 -1.2103 -1.2081 -1.1821 -1.1718 -1.1877 -1.2052
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -2.7075 -2.6587 -2.6059 -2.5421 -2.4756 -2.3749 -2.2207 -2.0227 -1.8593 -1.7052
 -1.6034 -1.5227 -1.4564 -1.3985 -1.3474 -1.2454
 -2.4883 -2.4374 -2.3894 -2.3377 -2.2803 -2.2010 -2.0831 -1.9281 -1.7866 -1.6746
 -1.5864 -1.5136 -1.4519 -1.3983 -1.3513 -1.2584 -1.1931 -1.1554 -1.1430
 -2.3115 -2.2542 -2.2059 -2.1606 -2.1116 -2.0510 -1.9643 -1.8464 -1.7366 -1.6452
 -1.5697 -1.5051 -1.4485 -1.3988 -1.3552 -1.2696 -1.2116 -1.1779 -1.1671 -1.1753
 -1.1965
 -2.1771 -2.1091 -2.0554 -2.0108 -1.9696 -1.9248 -1.8643 -1.7776 -1.6917 -1.6170
 -1.5533 -1.4972 -1.4462 -1.4000 -1.3591 -1.2790 -1.2258 -1.1955 -1.1859 -1.1933
 -1.2134 -1.2406 -1.2734
 -2.0789 -2.0000 -1.9377 -1.8886 -1.8482 -1.8118 -1.7712 -1.7113 -1.6457 -1.5857
 -1.5331 -1.4859 -1.4417 -1.4000 -1.3618 -1.2864 -1.2369 -1.2092 -1.2007 -1.2079
 -1.2272 -1.2541 -1.2857 -1.3207 -1.3601
 -1.9859 -1.9021 -1.8390 -1.7888 -1.7475 -1.7132 -1.6820 -1.6438 -1.5963 -1.5497
 -1.5074 -1.4690 -1.4324 -1.3966 -1.3621 -1.2913 -1.2449 -1.2194 -1.2121 -1.2196
 -1.2386 -1.2653 -1.2965 -1.3309 -1.3681 -1.4091
 -1.9433 -1.8354 -1.7495 -1.6859 -1.6425 -1.6147 -1.5941 -1.5726 -1.5431 -1.5096
 -1.4767 -1.4462 -1.4171 -1.3882 -1.3587 -1.2935 -1.2500 -1.2265 -1.2204 -1.2284
 -1.2476 -1.2747 -1.3063 -1.3406 -1.3773 -1.4165 -1.4589 -1.5054 -1.5564 -1.6064
 -1.9315 -1.8157 -1.7173 -1.6366 -1.5743 -1.5284 -1.4968 -1.4772 -1.4643 -1.4523
