 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  z   
 -1.0307 -0.9854 -0.9546 -0.9315 -0.9077 -0.8740 -0.8201 -0.7419 -0.6653 -0.6134
 -0.5860 -0.5717 -0.5606 -0.5484 -0.5347 -0.5046 -0.4899 -0.4904 -0.5047 -0.5309
 -0.5667 -0.6095
 -0.9208 -0.8816 -0.8399 -0.8109 -0.7896 -0.7690 -0.7408 -0.6955 -0.6425 -0.6009
 -0.5768 -0.5647 -0.5566 -0.5478 -0.5369 -0.5099 -0.4965 -0.4980 -0.5132 -0.5403
 -0.5768 -0.6201 -0.6678 -0.7175
 -0.8280 -0.7794 -0.7441 -0.7146 -0.6912 -0.6737 -0.6589 -0.6380 -0.6081 -0.5801
 -0.5621 -0.5533 -0.5485 -0.5433 -0.5357 -0.5131 -0.5012 -0.5037 -0.5195 -0.5471
 -0.5841 -0.6279 -0.6765 -0.7276 -0.7798 -0.8329 -0.8886 -0.9477 -1.0078 -1.0663
 -0.7684 -0.6902 -0.6359 -0.6031 -0.5871 -0.5803 -0.5765 -0.5726 -0.5631 -0.5503
 -0.5409 -0.5370 -0.5361 -0.5348 -0.5310 -0.5142 -0.5040 -0.5077 -0.5239 -0.5517
 -0.5890 -0.6333 -0.6826 -0.7350 -0.7888 -0.8433 -0.8991 -0.9572 -1.0179 -1.0797
 -1.1399
 -0.7551 -0.6655 -0.5953 -0.5436 -0.5089 -0.4887 -0.4809 -0.4843 -0.4940 -0.5033
 -0.5098 -0.5147 -0.5188 -0.5219 -0.5223 -0.5126 -0.5047 -0.5096 -0.5266 -0.5544
 -0.5918 -0.6365 -0.6863 -0.7399 -0.7954 -0.8518 -0.9090 -0.9673 -1.0270 -1.0891
 -1.1526
 -0.7517 -0.6590 -0.5838 -0.5251 -0.4815 -0.4517 -0.4339 -0.4262 -0.4279 -0.4375
 -0.4527 -0.4709 -0.4880 -0.5007 -0.5078 -0.5079 -0.5031 -0.5094 -0.5275 -0.5557
 -0.5932 -0.6383 -0.6889 -0.7434 -0.8004 -0.8586 -0.9176 -0.9773 -1.0376 -1.0991
 -1.1626
 -0.7515 -0.6575 -0.5810 -0.5202 -0.4738 -0.4402 -0.4177 -0.4050 -0.4007 -0.4034
 -0.4119 -0.4248 -0.4407 -0.4581 -0.4745 -0.4978 -0.4993 -0.5069 -0.5259 -0.5545
 -0.5919 -0.6370 -0.6880 -0.7432 -0.8013 -0.8612 -0.9218 -0.9829 -1.0443 -1.1064
 -1.1692
 -0.7405 -0.6519 -0.5764 -0.5163 -0.4699 -0.4359 -0.4124 -0.3975 -0.3901 -0.3889
 -0.3928 -0.4005 -0.4106 -0.4223 -0.4351 -0.4692 -0.4910 -0.5021 -0.5220 -0.5511
 -0.5884 -0.6334 -0.6845 -0.7402 -0.7992 -0.8605 -0.9228 -0.9855 -1.0483 -1.1112
 -1.1745
 -0.7076 -0.6295 -0.5620 -0.5057 -0.4616 -0.4293 -0.4070 -0.3926 -0.3844 -0.3812
 -0.3821 -0.3864 -0.3930 -0.4010 -0.3896 -0.4221 -0.4782 -0.4950 -0.5158
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  z   
 -1.6792 -1.6799 -1.6687 -1.5797 -1.4250 -1.2345 -1.0329 -0.8407 -0.6833 -0.5979
 -0.5597 -0.5397 -0.5241 -0.5087 -0.4927 -0.4604 -0.4435 -0.4419 -0.4484
 -1.4855 -1.4806 -1.4708 -1.4420 -1.3773 -1.2526 -1.0665 -0.8480 -0.6911 -0.6047
 -0.5658 -0.5470 -0.5335 -0.5199 -0.5057 -0.4756 -0.4602 -0.4590 -0.4695 -0.4906
 -1.3106 -1.2951 -1.2829 -1.2627 -1.2209 -1.1426 -1.0131 -0.8426 -0.6973 -0.6096
 -0.5678 -0.5489 -0.5373 -0.5261 -0.5137 -0.4856 -0.4710 -0.4710 -0.4834 -0.5064
 -0.5386
 -1.1655 -1.1342 -1.1139 -1.0959 -1.0693 -1.0220 -0.9410 -0.8202 -0.6976 -0.6119
 -0.5672 -0.5472 -0.5369 -0.5282 -0.5182 -0.4929 -0.4792 -0.4799 -0.4934 -0.5180
 -0.5519 -0.5932
 -1.0546 -1.0058 -0.9724 -0.9490 -0.9281 -0.8999 -0.8537 -0.7782 -0.6858 -0.6094
 -0.5640 -0.5426 -0.5331 -0.5267 -0.5195 -0.4981 -0.4856 -0.4868 -0.5010 -0.5266
 -0.5614 -0.6034 -0.6504 -0.7002
 -0.9563 -0.9049 -0.8621 -0.8296 -0.8053 -0.7841 -0.7586 -0.7177 -0.6581 -0.5983
 -0.5567 -0.5354 -0.5263 -0.5219 -0.5174 -0.5012 -0.4904 -0.4923 -0.5069 -0.5328
 -0.5684 -0.6110 -0.6587 -0.7097 -0.7622 -0.8161 -0.8727 -0.9333 -0.9942 -1.0539
 -0.8380 -0.7795 -0.7418 -0.7199 -0.7009 -0.6823 -0.6647 -0.6451 -0.6142 -0.5755
 -0.5432 -0.5245 -0.5166 -0.5140 -0.5121 -0.5019 -0.4933 -0.4964 -0.5113 -0.5373
 -0.5731 -0.6163 -0.6647 -0.7167 -0.7705 -0.8256 -0.8822 -0.9411 -1.0035 -1.0663
 -1.1276
 -0.8002 -0.7147 -0.6507 -0.6074 -0.5811 -0.5678 -0.5623 -0.5588 -0.5525 -0.5378
 -0.5204 -0.5082 -0.5032 -0.5028 -0.5034 -0.4998 -0.4942 -0.4986 -0.5143 -0.5403
 -0.5760 -0.6196 -0.6685 -0.7212 -0.7763 -0.8328 -0.8906 -0.9497 -1.0108 -1.0748
 -1.1394
 -0.7896 -0.6958 -0.6199 -0.5613 -0.5188 -0.4901 -0.4725 -0.4648 -0.4646 -0.4689
 -0.4735 -0.4781 -0.4825 -0.4870 -0.4911 -0.4945 -0.4927 -0.4987 -0.5156 -0.5420
 -0.5778 -0.6216 -0.6710 -0.7245 -0.7806 -0.8386 -0.8979 -0.9583 -1.0199 -1.0830
 -1.1484
 -0.7892 -0.6915 -0.6107 -0.5459 -0.4958 -0.4591 -0.4339 -0.4182 -0.4107 -0.4104
 -0.4162 -0.4268 -0.4405 -0.4551 -0.4681 -0.4856 -0.4889 -0.4965 -0.5145 -0.5415
 -0.5771 -0.6207 -0.6704 -0.7243 -0.7812 -0.8402 -0.9009 -0.9625 -1.0250 -1.0885
 -1.1531
 -0.7885 -0.6902 -0.6071 -0.5399 -0.4869 -0.4470 -0.4182 -0.3990 -0.3882 -0.3842
 -0.3860 -0.3927 -0.4031 -0.4161 -0.4305 -0.4643 -0.4818 -0.4921 -0.5111 -0.5389
 -0.5746 -0.6179 -0.6675 -0.7217 -0.7791 -0.8391 -0.9010 -0.9639 -1.0275 -1.0918
 -1.1567
 -0.7748 -0.6815 -0.6012 -0.5333 -0.4803 -0.4397 -0.4103 -0.3900 -0.3776 -0.3716
 -0.3710 -0.3749 -0.3820 -0.3913 -0.3783 -0.4306 -0.4714 -0.4855 -0.5054
 [Fe/H] =  0.50 [alpha/Fe] = 0.00 BC value =  z   
 -1.8284 -1.8479 -1.8041 -1.7036 -1.5521 -1.3547 -1.1160 -0.8645 -0.6889 -0.5818
 -0.5325 -0.5105 -0.4972 -0.4852 -0.4730 -0.4457 -0.4324 -0.4331 -0.4401
 -1.6356 -1.6556 -1.6629 -1.6465 -1.5615 -1.4002 -1.1659 -0.8948 -0.7053 -0.5928
 -0.5403 -0.5181 -0.5063 -0.4962 -0.4855 -0.4605 -0.4478 -0.4482 -0.4590 -0.4794
 -1.4520 -1.4612 -1.4634 -1.4545 -1.4130 -1.3171 -1.1445 -0.9147 -0.7236 -0.6043
 -0.5456 -0.5209 -0.5098 -0.5018 -0.4931 -0.4704 -0.4578 -0.4587 -0.4713 -0.4933
 -0.5239
 -1.2913 -1.2801 -1.2764 -1.2693 -1.2452 -1.1875 -1.0781 -0.9101 -0.7377 -0.6158
 -0.5497 -0.5210 -0.5094 -0.5032 -0.4969 -0.4778 -0.4657 -0.4668 -0.4801 -0.5035
 -0.5358 -0.5756
 -1.1620 -1.1303 -1.1119 -1.0996 -1.0835 -1.0503 -0.9863 -0.8777 -0.7402 -0.6242
 -0.5532 -0.5196 -0.5064 -0.5012 -0.4973 -0.4830 -0.4722 -0.4735 -0.4870 -0.5112
 -0.5446 -0.5853 -0.6314 -0.6812
 -1.0612 -1.0129 -0.9782 -0.9545 -0.9361 -0.9146 -0.8792 -0.8166 -0.7229 -0.6250
 -0.5547 -0.5170 -0.5014 -0.4964 -0.4944 -0.4859 -0.4773 -0.4791 -0.4926 -0.5171
 -0.5511 -0.5926 -0.6396 -0.6903 -0.7431 -0.7977 -0.8553 -0.9165 -0.9787 -1.0398
 -0.9412 -0.8820 -0.8662 -0.8379 -0.8131 -0.7915 -0.7690 -0.7360 -0.6820 -0.6122
 -0.5508 -0.5126 -0.4949 -0.4893 -0.4887 -0.4860 -0.4805 -0.4834 -0.4972 -0.5215
 -0.5557 -0.5979 -0.6455 -0.6970 -0.7509 -0.8062 -0.8635 -0.9236 -0.9875 -1.0510
 -1.1137
 -0.8468 -0.7751 -0.7282 -0.7026 -0.6892 -0.6786 -0.6642 -0.6460 -0.6205 -0.5810
 -0.5369 -0.5037 -0.4860 -0.4802 -0.4802 -0.4831 -0.4815 -0.4860 -0.5005 -0.5248
 -0.5588 -0.6011 -0.6493 -0.7014 -0.7562 -0.8126 -0.8707 -0.9306 -0.9930 -1.0587
 -1.1242
 -0.8226 -0.7334 -0.6629 -0.6115 -0.5770 -0.5557 -0.5440 -0.5381 -0.5331 -0.5227
 -0.5042 -0.4849 -0.4725 -0.4682 -0.4693 -0.4770 -0.4799 -0.4864 -0.5022 -0.5270
 -0.5609 -0.6032 -0.6518 -0.7045 -0.7601 -0.8176 -0.8769 -0.9377 -1.0003 -1.0650
 -1.1322
 -0.8178 -0.7215 -0.6415 -0.5774 -0.5287 -0.4937 -0.4696 -0.4537 -0.4447 -0.4414
 -0.4407 -0.4410 -0.4430 -0.4473 -0.4532 -0.4678 -0.4757 -0.4845 -0.5016 -0.5272
 -0.5608 -0.6027 -0.6513 -0.7043 -0.7604 -0.8186 -0.8788 -0.9406 -1.0039 -1.0686
 -1.1349
 -0.8198 -0.7187 -0.6342 -0.5646 -0.5093 -0.4670 -0.4361 -0.4146 -0.4007 -0.3929
 -0.3906 -0.3934 -0.4003 -0.4104 -0.4224 -0.4519 -0.4686 -0.4804 -0.4988 -0.5252
 -0.5591 -0.6005 -0.6487 -0.7018 -0.7583 -0.8172 -0.8782 -0.9409 -1.0049 -1.0702
 -1.1365
 -0.8175 -0.7174 -0.6303 -0.5582 -0.4999 -0.4545 -0.4204 -0.3959 -0.3797 -0.3702
 -0.3662 -0.3672 -0.3722 -0.3808 -0.3769 -0.4293 -0.4586 -0.4741 -0.4938
 [Fe/H] =  0.75 [alpha/Fe] = 0.00 BC value =  z   
 -1.9427 -1.8336 -1.7074 -1.5659 -1.4110 -1.2440 -1.0662 -0.8789 -0.6964 -0.5704
 -0.5064 -0.4791 -0.4660 -0.4568 -0.4477 -0.4263 -0.4177 -0.4207 -0.4301
 -1.7544 -1.7965 -1.8303 -1.8326 -1.7201 -1.5055 -1.2241 -0.9296 -0.7231 -0.5868
 -0.5171 -0.4877 -0.4752 -0.4674 -0.4598 -0.4410 -0.4314 -0.4342 -0.4465 -0.4665
 -1.5678 -1.6226 -1.6260 -1.6346 -1.6011 -1.4930 -1.2722 -0.9788 -0.7537 -0.6058
 -0.5265 -0.4924 -0.4791 -0.4728 -0.4672 -0.4509 -0.4410 -0.4435 -0.4567 -0.4784
 -0.5080
 -1.3960 -1.4093 -1.4274 -1.4375 -1.4223 -1.3597 -1.2243 -1.0049 -0.7833 -0.6268
 -0.5366 -0.4953 -0.4796 -0.4740 -0.4706 -0.4584 -0.4489 -0.4508 -0.4643 -0.4871
 -0.5183 -0.5567
 -1.2524 -1.2435 -1.2459 -1.2502 -1.2442 -1.2108 -1.1317 -0.9880 -0.8024 -0.6465
 -0.5478 -0.4981 -0.4781 -0.4721 -0.4704 -0.4637 -0.4558 -0.4574 -0.4706 -0.4939
 -0.5259 -0.5656 -0.6110 -0.6606
 -1.1401 -1.1085 -1.0913 -1.0831 -1.0758 -1.0578 -1.0150 -0.9304 -0.7996 -0.6606
 -0.5584 -0.5011 -0.4759 -0.4679 -0.4671 -0.4662 -0.4612 -0.4633 -0.4762 -0.4994
 -0.5319 -0.5723 -0.6187 -0.6693 -0.7226 -0.7780 -0.8370 -0.8997 -0.9618 -1.0243
 -1.0352 -0.9978 -0.9681 -0.9454 -0.9288 -0.9129 -0.8889 -0.8436 -0.7648 -0.6599
 -0.5651 -0.5036 -0.4732 -0.4624 -0.4613 -0.4657 -0.4648 -0.4681 -0.4811 -0.5040
 -0.5365 -0.5773 -0.6243 -0.6757 -0.7297 -0.7857 -0.8437 -0.9050 -0.9700 -1.0342
 -1.0982
 -0.8980 -0.8570 -0.8316 -0.8181 -0.8061 -0.7881 -0.7677 -0.7424 -0.7010 -0.6363
 -0.5617 -0.5031 -0.4698 -0.4559 -0.4536 -0.4618 -0.4658 -0.4712 -0.4850 -0.5077
 -0.5398 -0.5806 -0.6280 -0.6798 -0.7346 -0.7913 -0.8498 -0.9104 -0.9740 -1.0410
 -1.1073
 -0.8494 -0.7714 -0.7150 -0.6786 -0.6597 -0.6519 -0.6466 -0.6356 -0.6160 -0.5846
 -0.5393 -0.4939 -0.4627 -0.4477 -0.4444 -0.4548 -0.4639 -0.4721 -0.4872 -0.5105
 -0.5423 -0.5829 -0.6304 -0.6828 -0.7381 -0.7956 -0.8550 -0.9162 -0.9795 -1.0454
 -1.1143
 -0.8367 -0.7466 -0.6722 -0.6144 -0.5730 -0.5455 -0.5278 -0.5167 -0.5095 -0.5014
 -0.4871 -0.4660 -0.4465 -0.4353 -0.4327 -0.4451 -0.4590 -0.4705 -0.4872 -0.5114
 -0.5431 -0.5830 -0.6301 -0.6825 -0.7381 -0.7961 -0.8560 -0.9178 -0.9814 -1.0471
 -1.1149
 -0.8356 -0.7394 -0.6574 -0.5898 -0.5363 -0.4961 -0.4672 -0.4467 -0.4320 -0.4219
 -0.4155 -0.4109 -0.4076 -0.4074 -0.4111 -0.4318 -0.4512 -0.4662 -0.4848 -0.5101
 -0.5422 -0.5816 -0.6281 -0.6803 -0.7361 -0.7944 -0.8548 -0.9170 -0.9811 -1.0470
 -1.1145
 -0.8383 -0.7387 -0.6520 -0.5795 -0.5202 -0.4735 -0.4380 -0.4121 -0.3938 -0.3812
 -0.3730 -0.3692 -0.3695 -0.3737 -0.3796 -0.4149 -0.4405 -0.4592 -0.4800
 [Fe/H] =  1.00 [alpha/Fe] = 0.00 BC value =  z   
 -2.0293 -1.9152 -1.7824 -1.6330 -1.4690 -1.2918 -1.1029 -0.9036 -0.7078 -0.5652
 -0.4834 -0.4472 -0.4319 -0.4239 -0.4176 -0.4034 -0.3992 -0.4049 -0.4184
 -1.8441 -2.2045 -2.3509 -2.3054 -2.0870 -1.7129 -1.2634 -0.9643 -0.7457 -0.5882
 -0.4981 -0.4577 -0.4416 -0.4343 -0.4291 -0.4170 -0.4109 -0.4164 -0.4309 -0.4515
 -1.6537 -1.9238 -1.7616 -1.7908 -1.7711 -1.6583 -1.3648 -1.0282 -0.7878 -0.6151
 -0.5132 -0.4653 -0.4466 -0.4398 -0.4362 -0.4265 -0.4202 -0.4248 -0.4394 -0.4614
 -0.4904
 -1.4734 -1.5136 -1.5562 -1.5871 -1.5865 -1.5261 -1.3682 -1.0923 -0.8323 -0.6458
 -0.5306 -0.4725 -0.4489 -0.4415 -0.4395 -0.4340 -0.4281 -0.4316 -0.4459 -0.4686
 -0.4990 -0.5366
 -1.3180 -1.3354 -1.3623 -1.3879 -1.3976 -1.3696 -1.2798 -1.1027 -0.8694 -0.6769
 -0.5498 -0.4807 -0.4503 -0.4405 -0.4392 -0.4392 -0.4353 -0.4381 -0.4517 -0.4746
 -0.5057 -0.5443 -0.5892 -0.6389
 -1.1935 -1.1854 -1.1911 -1.2037 -1.2125 -1.2031 -1.1572 -1.0528 -0.8838 -0.7040
 -0.5702 -0.4905 -0.4519 -0.4381 -0.4362 -0.4413 -0.4412 -0.4444 -0.4573 -0.4798
 -0.5111 -0.5504 -0.5962 -0.6466 -0.7001 -0.7572 -0.8181 -0.8810 -0.9437 -1.0077
 -1.0945 -1.0670 -1.0513 -1.0455 -1.0445 -1.0393 -1.0174 -0.9624 -0.8586 -0.7168
 -0.5877 -0.5010 -0.4542 -0.4351 -0.4311 -0.4401 -0.4450 -0.4498 -0.4625 -0.4845
 -0.5155 -0.5549 -0.6012 -0.6525 -0.7066 -0.7633 -0.8230 -0.8859 -0.9512 -1.0160
 -1.0815
 -0.9585 -0.9448 -0.9310 -0.9173 -0.9046 -0.8928 -0.8774 -0.8495 -0.7939 -0.7029
 -0.5957 -0.5091 -0.4568 -0.4322 -0.4250 -0.4355 -0.4460 -0.4536 -0.4670 -0.4887
 -0.5190 -0.5582 -0.6045 -0.6562 -0.7113 -0.7686 -0.8277 -0.8894 -0.9543 -1.0220
 -1.0889
 -0.8686 -0.8100 -0.7767 -0.7637 -0.7637 -0.7626 -0.7519 -0.7320 -0.7026 -0.6534
 -0.5822 -0.5092 -0.4567 -0.4284 -0.4181 -0.4279 -0.4436 -0.4549 -0.4699 -0.4920
 -0.5221 -0.5607 -0.6070 -0.6588 -0.7144 -0.7723 -0.8322 -0.8938 -0.9578 -1.0250
 -1.0948
 -0.8444 -0.7650 -0.7016 -0.6566 -0.6292 -0.6152 -0.6099 -0.6069 -0.5981 -0.5772
 -0.5417 -0.4942 -0.4506 -0.4227 -0.4104 -0.4182 -0.4378 -0.4534 -0.4705 -0.4937
 -0.5237 -0.5615 -0.6070 -0.6585 -0.7140 -0.7721 -0.8323 -0.8943 -0.9582 -1.0246
 -1.0935
 -0.8384 -0.7505 -0.6754 -0.6139 -0.5669 -0.5337 -0.5114 -0.4962 -0.4854 -0.4762
 -0.4650 -0.4480 -0.4259 -0.4070 -0.3973 -0.4063 -0.4292 -0.4489 -0.4686 -0.4932
 -0.5238 -0.5611 -0.6057 -0.6566 -0.7119 -0.7700 -0.8304 -0.8925 -0.9565 -1.0226
 -1.0908
 -0.8402 -0.7465 -0.6654 -0.5965 -0.5401 -0.4958 -0.4627 -0.4387 -0.4211 -0.4074
 -0.3962 -0.3875 -0.3803 -0.3749 -0.3788 -0.3922 -0.4178 -0.4414 -0.4642
