 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  G   
 -1.3726 -1.3094 -1.2472 -1.1838 -1.1214 -0.9876 -0.8875 -0.8152 -0.7654 -0.7323
 -0.7103 -0.6947 -0.6837 -0.6761 -0.6723
 -2.0671 -1.9396 -1.8339 -1.7471 -1.6765 -1.6199 -1.5716 -1.5166 -1.4553 -1.3929
 -1.3334 -1.2780 -1.2253 -1.1716 -1.1151 -0.9868 -0.8897 -0.8201 -0.7727 -0.7421
 -0.7227 -0.7095 -0.7001 -0.6936 -0.6897 -0.6890
 -2.0636 -1.9282 -1.8044 -1.6947 -1.6016 -1.5245 -1.4639 -1.4186 -1.3807 -1.3419
 -1.2970 -1.2487 -1.2012 -1.1551 -1.1068 -0.9859 -0.8914 -0.8238 -0.7784 -0.7501
 -0.7337 -0.7235 -0.7165 -0.7118 -0.7089 -0.7080 -0.7096 -0.7155 -0.7268 -0.7434
 -2.0627 -1.9277 -1.7997 -1.6820 -1.5774 -1.4876 -1.4127 -1.3509 -1.3004 -1.2615
 -1.2323 -1.2049 -1.1721 -1.1344 -1.0936 -0.9836 -0.8917 -0.8255 -0.7816 -0.7553
 -0.7417 -0.7352 -0.7316 -0.7297 -0.7287 -0.7289 -0.7308 -0.7351 -0.7432 -0.7579
 -0.7790
 -2.0515 -1.9242 -1.7995 -1.6810 -1.5728 -1.4770 -1.3945 -1.3245 -1.2663 -1.2178
 -1.1778 -1.1459 -1.1206 -1.0960 -1.0681 -0.9783 -0.8900 -0.8250 -0.7819 -0.7569
 -0.7433 -0.7430 -0.7437 -0.7455 -0.7477 -0.7502 -0.7535 -0.7572 -0.7637 -0.7754
 -0.7940
 -2.0153 -1.9042 -1.7884 -1.6761 -1.5703 -1.4744 -1.3896 -1.3157 -1.2523 -1.1984
 -1.1526 -1.1135 -1.0799 -1.0518 -1.0276 -0.9613 -0.8846 -0.8214 -0.7789 -0.7546
 -0.7451 -0.7457 -0.7510 -0.7576 -0.7641 -0.7701 -0.7762 -0.7824 -0.7895 -0.7988
 -0.8123
 -1.9553 -1.8611 -1.7609 -1.6597 -1.5617 -1.4705 -1.3881 -1.3144 -1.2493 -1.1921
 -1.1422 -1.0987 -1.0606 -1.0268 -0.9974 -0.9355 -0.8731 -0.8159 -0.7741 -0.7496
 -0.7403 -0.7428 -0.7522 -0.7639 -0.7755 -0.7863 -0.7964 -0.8057 -0.8150 -0.8249
 -0.8354
 -1.8774 -1.7984 -1.7139 -1.6257 -1.5389 -1.4561 -1.3795 -1.3098 -1.2467 -1.1896
 -1.1379 -1.0917 -1.0503 -1.0135 -0.9805 -0.9128 -0.8561 -0.8061 -0.7673 -0.7427
 -0.7328 -0.7356 -0.7473 -0.7635 -0.7805 -0.7967 -0.8119 -0.8257 -0.8385 -0.8509
 -0.8636
 -1.7866 -1.7206 -1.6501 -1.5760 -1.5011 -1.4283 -1.3597 -1.2962 -1.2376 -1.1835
 -1.1333 -1.0869 -1.0441 -1.0052 -0.9769 -0.8932 -0.8336 -0.7920 -0.7585
