 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.5709 -3.6048 -3.6298 -3.6458 -3.6536 -3.6565 -3.6610 -3.6764 -3.6935 -3.7102
 -3.7299 -3.7605 -3.8090 -3.8714 -3.9393 -4.1115 -4.2790 -4.4408 -4.6006 -4.7575
 -4.9091
 -3.5783 -3.6249 -3.6614 -3.6883 -3.7061 -3.7163 -3.7242 -3.7389 -3.7550 -3.7689
 -3.7815 -3.7993 -3.8336 -3.8883 -3.9540 -4.1265 -4.2947 -4.4561 -4.6144 -4.7699
 -4.9199 -5.0644 -5.2042
 -3.5387 -3.5955 -3.6569 -3.7054 -3.7410 -3.7648 -3.7799 -3.7954 -3.8124 -3.8265
 -3.8366 -3.8460 -3.8643 -3.9049 -3.9648 -4.1359 -4.3052 -4.4673 -4.6249 -4.7792
 -4.9283 -5.0718 -5.2101 -5.3441 -5.4743
 -3.4900 -3.5487 -3.6109 -3.6723 -3.7285 -3.7761 -3.8122 -3.8369 -3.8583 -3.8766
 -3.8900 -3.8983 -3.9062 -3.9283 -3.9761 -4.1417 -4.3117 -4.4749 -4.6324 -4.7861
 -4.9347 -5.0775 -5.2148 -5.3474 -5.4759 -5.6008
 -3.4720 -3.5234 -3.5784 -3.6365 -3.6954 -3.7510 -3.8003 -3.8418 -3.8758 -3.9033
 -3.9249 -3.9411 -3.9525 -3.9640 -3.9935 -4.1456 -4.3154 -4.4795 -4.6375 -4.7909
 -4.9393 -5.0819 -5.2186 -5.3503 -5.4775 -5.6009 -5.7210 -5.8377 -5.9509 -6.0601
 -3.4716 -3.5175 -3.5662 -3.6189 -3.6747 -3.7312 -3.7849 -3.8323 -3.8721 -3.9061
 -3.9357 -3.9609 -3.9819 -4.0000 -4.0213 -4.1495 -4.3172 -4.4819 -4.6404 -4.7938
 -4.9422 -5.0849 -5.2216 -5.3528 -5.4792 -5.6014 -5.7201 -5.8353 -5.9473 -6.0560
 -6.1615
 -3.4824 -3.5240 -3.5678 -3.6150 -3.6658 -3.7192 -3.7728 -3.8237 -3.8692 -3.9077
 -3.9402 -3.9697 -3.9975 -4.0228 -4.0482 -4.1567 -4.3183 -4.4826 -4.6413 -4.7946
 -4.9424 -5.0864 -5.2235 -5.3547 -5.4807 -5.6023 -5.7199 -5.8340 -5.9447 -6.0523
 -6.1569
 -3.5059 -3.5413 -3.5797 -3.6220 -3.6678 -3.7164 -3.7667 -3.8170 -3.8651 -3.9088
 -3.9467 -3.9798 -4.0108 -4.0411 -4.0708 -4.1739 -4.3222 -4.4849 -4.6434 -4.7964
 -4.9447 -5.0885 -5.2265 -5.3585 -5.4848 -5.6062 -5.7234 -5.8367 -5.9465 -6.0532
 -6.1568
 -3.5434 -3.5719 -3.6036 -3.6397 -3.6797 -3.7228 -3.7682 -3.8147 -3.8617 -3.9073
 -3.9498 -3.9883 -4.0234 -4.0571 -4.0905 -4.1928 -4.3294 -4.4849 -4.6421 -4.7942
 -4.9417 -5.0852 -5.2240 -5.3572 -5.4843 -5.6061 -5.7232 -5.8361 -5.9453 -6.0511
 -6.1559
 -3.5960 -3.6182 -3.6436 -3.6724 -3.7056 -3.7421 -3.7811 -3.8222 -3.8650 -3.9086
