 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  u   
 -9.4592 -9.4316 -9.3978 -9.3596 -9.3174 -9.2651 -9.1801 -9.0073 -8.7410 -8.4297
 -8.1283 -7.8743 -7.6713 -7.5089 -7.3739 -7.0932 -6.8096 -6.4952 -6.1816 -5.9055
 -5.6825 -5.5096
 -9.1545 -9.1246 -9.0893 -9.0485 -9.0034 -8.9530 -8.8880 -8.7707 -8.5763 -8.3234
 -8.0574 -7.8164 -7.6155 -7.4505 -7.3109 -7.0187 -6.7310 -6.4181 -6.1047 -5.8264
 -5.6017 -5.4286 -5.2989 -5.2051
 -8.9327 -8.8778 -8.8317 -8.7857 -8.7363 -8.6827 -8.6227 -8.5390 -8.3998 -8.2028
 -7.9756 -7.7541 -7.5593 -7.3938 -7.2510 -6.9495 -6.6597 -6.3518 -6.0429 -5.7634
 -5.5344 -5.3570 -5.2241 -5.1283 -5.0632 -5.0212 -4.9949 -4.9785 -4.9621 -4.9391
 -8.9330 -8.7819 -8.6698 -8.5860 -8.5195 -8.4589 -8.3958 -8.3244 -8.2226 -8.0738
 -7.8870 -7.6896 -7.5051 -7.3416 -7.1978 -6.8897 -6.5981 -6.2958 -5.9936 -5.7147
 -5.4802 -5.2958 -5.1566 -5.0554 -4.9866 -4.9436 -4.9188 -4.9054 -4.8974 -4.8875
 -4.8701
 -9.0850 -8.8427 -8.6489 -8.5014 -8.3877 -8.2946 -8.2130 -8.1376 -8.0539 -7.9411
 -7.7929 -7.6233 -7.4536 -7.2964 -7.1539 -6.8431 -6.5507 -6.2519 -5.9561 -5.6794
 -5.4397 -5.2464 -5.0982 -4.9889 -4.9135 -4.8664 -4.8407 -4.8285 -4.8233 -4.8212
 -4.8164
 -9.2781 -8.9740 -8.7130 -8.4956 -8.3212 -8.1825 -8.0694 -7.9756 -7.8881 -7.7939
 -7.6820 -7.5471 -7.4004 -7.2551 -7.1177 -6.8092 -6.5174 -6.2204 -5.9281 -5.6533
 -5.4092 -5.2068 -5.0483 -4.9294 -4.8452 -4.7913 -4.7619 -4.7490 -4.7456 -4.7467
 -4.7490
 -9.5169 -9.1646 -8.8524 -8.5783 -8.3455 -8.1531 -7.9949 -7.8625 -7.7470 -7.6406
 -7.5369 -7.4303 -7.3178 -7.2017 -7.0836 -6.7914 -6.5041 -6.2102 -5.9198 -5.6457
 -5.3979 -5.1860 -5.0154 -4.8843 -4.7887 -4.7244 -4.6870 -4.6698 -4.6655 -4.6674
 -4.6739
 -9.8129 -9.4192 -9.0598 -8.7364 -8.4521 -8.2078 -8.0016 -7.8280 -7.6792 -7.5477
 -7.4279 -7.3158 -7.2088 -7.1068 -7.0097 -6.7705 -6.5039 -6.2157 -5.9273 -5.6530
 -5.4018 -5.1815 -4.9985 -4.8539 -4.7450 -4.6682 -4.6198 -4.5945 -4.5858 -4.5876
 -4.5911
-10.1056 -9.7058 -9.3184 -8.9578 -8.6299 -8.3389 -8.0862 -7.8696 -7.6845 -7.5248
 -7.3843 -7.2577 -7.1414 -7.0339 -6.8960 -6.7465 -6.5168 -6.2369 -5.9506
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =  u   
-10.7284-10.7067-10.6665-10.5916-10.4657-10.2759-10.0121 -9.6665 -9.2499 -8.8241
 -8.4270 -8.1202 -7.8982 -7.7347 -7.6090 -7.3823 -7.1766 -6.9341 -6.6514
-10.3201-10.2966-10.3251-10.3507-10.3194-10.1879 -9.9212 -9.5292 -9.1280 -8.7254
 -8.3551 -8.0615 -7.8433 -7.6797 -7.5520 -7.3151 -7.0911 -6.8230 -6.5289 -6.2463
 -9.9316 -9.9070 -9.8801 -9.8507 -9.8131 -9.7523 -9.6309 -9.3666 -9.0087 -8.6423
 -8.2992 -8.0160 -7.7977 -7.6311 -7.4990 -7.2495 -7.0126 -6.7312 -6.4260 -6.1397
 -5.8956
 -9.5728 -9.5490 -9.5203 -9.4887 -9.4534 -9.4059 -9.3227 -9.1509 -8.8728 -8.5535
 -8.2413 -7.9691 -7.7527 -7.5826 -7.4460 -7.1838 -6.9390 -6.6531 -6.3427 -6.0522
 -5.8080 -5.6136
 -9.2525 -9.2290 -9.1996 -9.1653 -9.1278 -9.0852 -9.0253 -8.9114 -8.7145 -8.4496
 -8.1726 -7.9168 -7.7039 -7.5316 -7.3909 -7.1174 -6.8674 -6.5832 -6.2738 -5.9805
 -5.7331 -5.5372 -5.3868 -5.2740
 -8.9822 -8.9549 -8.9220 -8.8846 -8.8432 -8.7985 -8.7472 -8.6691 -8.5328 -8.3298
 -8.0911 -7.8565 -7.6505 -7.4780 -7.3342 -7.0511 -6.7975 -6.5184 -6.2154 -5.9222
 -5.6702 -5.4694 -5.3154 -5.2002 -5.1168 -5.0583 -5.0190 -4.9929 -4.9686 -4.9404
 -8.8645 -8.7718 -8.7026 -8.6514 -8.6036 -8.5541 -8.5008 -8.4387 -8.3427 -8.1947
 -7.9994 -7.7901 -7.5941 -7.4239 -7.2788 -6.9879 -6.7313 -6.4578 -6.1646 -5.8753
 -5.6191 -5.4114 -5.2506 -5.1302 -5.0429 -4.9830 -4.9439 -4.9198 -4.9046 -4.8889
 -4.8674
 -8.9644 -8.7697 -8.6272 -8.5194 -8.4319 -8.3598 -8.2966 -8.2337 -8.1584 -8.0503
 -7.8993 -7.7200 -7.5392 -7.3735 -7.2287 -6.9325 -6.6730 -6.4043 -6.1210 -5.8382
 -5.5799 -5.3644 -5.1947 -5.0664 -4.9726 -4.9079 -4.8672 -4.8432 -4.8302 -4.8228
 -4.8135
 -9.1411 -8.8733 -8.6484 -8.4705 -8.3348 -8.2302 -8.1435 -8.0640 -7.9888 -7.9020
 -7.7878 -7.6420 -7.4817 -7.3261 -7.1843 -6.8864 -6.6252 -6.3590 -6.0825 -5.8067
 -5.5487 -5.3261 -5.1470 -5.0090 -4.9067 -4.8352 -4.7899 -4.7647 -4.7525 -4.7475
 -4.7459
 -9.3625 -9.0425 -8.7595 -8.5170 -8.3174 -8.1576 -8.0293 -7.9228 -7.8302 -7.7438
 -7.6542 -7.5461 -7.4186 -7.2830 -7.1501 -6.8556 -6.5946 -6.3315 -6.0600 -5.7902
 -5.5341 -5.3058 -5.1162 -4.9665 -4.8530 -4.7713 -4.7179 -4.6873 -4.6733 -4.6694
 -4.6714
 -9.6388 -9.2741 -8.9420 -8.6471 -8.3914 -8.1759 -7.9979 -7.8502 -7.7240 -7.6124
 -7.5099 -7.4109 -7.3080 -7.2014 -7.0940 -6.8323 -6.5776 -6.3189 -6.0513 -5.7855
 -5.5315 -5.2996 -5.1004 -4.9384 -4.8122 -4.7185 -4.6541 -4.6149 -4.5954 -4.5897
 -4.5918
 -9.9522 -9.5601 -9.1904 -8.8513 -8.5470 -8.2807 -8.0525 -7.8594 -7.6959 -7.5548
 -7.4291 -7.3142 -7.2065 -7.1035 -7.0160 -6.8165 -6.5742 -6.3212 -6.0564
 [Fe/H] =  0.50 [alpha/Fe] = 0.40 BC value =  u   
-10.8307-10.8175-10.6141-10.3369-10.0759 -9.8724 -9.7618 -9.6795 -9.3175 -8.9278
 -8.5292 -8.1985 -7.9562 -7.7785 -7.6449 -7.4161 -7.2344 -7.0220 -6.7690
-10.4358-10.4203-10.3975-10.4967-10.4470-10.2630 -9.9575 -9.5714 -9.2083 -8.8324
 -8.4602 -8.1458 -7.9087 -7.7319 -7.5967 -7.3621 -7.1680 -6.9356 -6.6619 -6.3809
-10.0587-10.0377-10.0101 -9.9886 -9.9492 -9.8850 -9.7521 -9.4467 -9.0982 -8.7506
 -8.4066 -8.1066 -7.8709 -7.6920 -7.5532 -7.3087 -7.1054 -6.8627 -6.5761 -6.2879
 -6.0312
 -9.6880 -9.6686 -9.6466 -9.6222 -9.5914 -9.5426 -9.4536 -9.2707 -8.9787 -8.6613
 -8.3479 -8.0660 -7.8336 -7.6524 -7.5093 -7.2537 -7.0436 -6.7980 -6.5072 -6.2127
 -5.9506 -5.7335
 -9.3595 -9.3402 -9.3156 -9.2874 -9.2562 -9.2170 -9.1557 -9.0387 -8.8297 -8.5613
 -8.2794 -8.0157 -7.7909 -7.6082 -7.4622 -7.1958 -6.9800 -6.7362 -6.4481 -6.1508
 -5.8842 -5.6639 -5.4899 -5.3556
 -9.0694 -9.0480 -9.0216 -8.9902 -8.9552 -8.9167 -8.8691 -8.7914 -8.6520 -8.4398
 -8.1975 -7.9551 -7.7400 -7.5589 -7.4105 -7.1351 -6.9141 -6.6742 -6.3942 -6.0991
 -5.8283 -5.6027 -5.4240 -5.2866 -5.1830 -5.1061 -5.0510 -5.0116 -4.9765 -4.9414
 -8.8563 -8.8108 -8.7709 -8.7344 -8.6951 -8.6527 -8.6064 -8.5490 -8.4541 -8.3022
 -8.1003 -7.8853 -7.6819 -7.5045 -7.3556 -7.0731 -6.8472 -6.6118 -6.3427 -6.0550
 -5.7823 -5.5501 -5.3647 -5.2215 -5.1137 -5.0342 -4.9782 -4.9401 -4.9143 -4.8903
 -4.8638
 -8.8652 -8.7283 -8.6231 -8.5450 -8.4848 -8.4330 -8.3817 -8.3266 -8.2563 -8.1498
 -7.9941 -7.8087 -7.6205 -7.4492 -7.3010 -7.0131 -6.7829 -6.5508 -6.2929 -6.0159
 -5.7452 -5.5072 -5.3137 -5.1623 -5.0479 -4.9634 -4.9044 -4.8651 -4.8405 -4.8252
 -4.8098
 -9.0135 -8.7814 -8.5989 -8.4655 -8.3669 -8.2850 -8.2097 -8.1400 -8.0732 -7.9913
 -7.8768 -7.7249 -7.5562 -7.3937 -7.2485 -6.9580 -6.7240 -6.4938 -6.2441 -5.9781
 -5.7126 -5.4709 -5.2691 -5.1089 -4.9860 -4.8945 -4.8303 -4.7888 -4.7637 -4.7496
 -4.7423
 -9.2143 -8.9256 -8.6745 -8.4667 -8.3019 -8.1761 -8.0782 -7.9970 -7.9206 -7.8424
 -7.7540 -7.6383 -7.4966 -7.3482 -7.2078 -6.9157 -6.6785 -6.4499 -6.2066 -5.9507
 -5.6929 -5.4505 -5.2409 -5.0701 -4.9363 -4.8350 -4.7624 -4.7144 -4.6864 -4.6722
 -4.6665
 -9.4637 -9.1292 -8.8275 -8.5624 -8.3370 -8.1522 -8.0034 -7.8824 -7.7807 -7.6906
 -7.6055 -7.5171 -7.4119 -7.2909 -7.1658 -6.8837 -6.6454 -6.4185 -6.1800 -5.9312
 -5.6811 -5.4409 -5.2255 -5.0444 -4.8989 -4.7861 -4.7031 -4.6463 -4.6119 -4.5946
 -4.5887
 -9.7648 -9.3945 -9.0510 -8.7388 -8.4622 -8.2231 -8.0217 -7.8543 -7.7141 -7.5932
 -7.4851 -7.3860 -7.2895 -7.1904 -7.1225 -6.8620 -6.6247 -6.3996 -6.1643
