 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F547M
 -4.0900 -3.6465 -3.3011 -3.0258 -2.7756 -2.5470 -2.3515 -2.1697 -2.0029 -1.8538
 -1.7115 -1.5772 -1.4532 -1.3404 -1.2392 -1.0296 -0.8612 -0.7245 -0.6152
 -4.0401 -3.6777 -3.2947 -2.9846 -2.7250 -2.4911 -2.2927 -2.1110 -1.9462 -1.7975
 -1.6564 -1.5240 -1.4017 -1.2907 -1.1912 -0.9886 -0.8338 -0.7083 -0.6022 -0.5105
 -3.8993 -3.7053 -3.3373 -2.9949 -2.7106 -2.4665 -2.2575 -2.0762 -1.9134 -1.7655
 -1.6269 -1.4965 -1.3757 -1.2656 -1.1667 -0.9660 -0.8151 -0.6948 -0.5945 -0.5095
 -0.4386
 -3.6955 -3.4765 -3.3542 -3.0404 -2.7312 -2.4701 -2.2477 -2.0593 -1.8956 -1.7485
 -1.6124 -1.4844 -1.3651 -1.2555 -1.1566 -0.9554 -0.8053 -0.6875 -0.5910 -0.5104
 -0.4438 -0.3898
 -3.5691 -3.2611 -3.0989 -3.0192 -2.7747 -2.4974 -2.2595 -2.0590 -1.8893 -1.7411
 -1.6068 -1.4812 -1.3636 -1.2548 -1.1558 -0.9528 -0.8015 -0.6844 -0.5900 -0.5125
 -0.4494 -0.3986 -0.3575 -0.3223
 -3.6250 -3.2458 -2.9655 -2.7780 -2.6792 -2.5297 -2.2922 -2.0762 -1.8947 -1.7414
 -1.6064 -1.4830 -1.3674 -1.2598 -1.1609 -0.9559 -0.8022 -0.6843 -0.5907 -0.5153
 -0.4547 -0.4068 -0.3686 -0.3369 -0.3102 -0.2884 -0.2736 -0.2671 -0.2678 -0.2744
 -3.7506 -3.3037 -2.9664 -2.7085 -2.5153 -2.3791 -2.2708 -2.1085 -1.9174 -1.7508
 -1.6111 -1.4879 -1.3743 -1.2681 -1.1698 -0.9632 -0.8066 -0.6865 -0.5924 -0.5180
 -0.4594 -0.4138 -0.3785 -0.3500 -0.3260 -0.3061 -0.2907 -0.2811 -0.2790 -0.2847
 -0.2964
 -3.9460 -3.4291 -3.0289 -2.7236 -2.4860 -2.2988 -2.1482 -2.0258 -1.9121 -1.7737
 -1.6244 -1.4958 -1.3831 -1.2787 -1.1811 -0.9733 -0.8141 -0.6910 -0.5951 -0.5205
 -0.4628 -0.4192 -0.3866 -0.3615 -0.3411 -0.3240 -0.3104 -0.3003 -0.2954 -0.2974
 -0.3079
 -4.1896 -3.6154 -3.1525 -2.7900 -2.5105 -2.2915 -2.1145 -1.9655 -1.8363 -1.7232
 -1.6169 -1.5040 -1.3909 -1.2883 -1.1921 -0.9841 -0.8224 -0.6964 -0.5978 -0.5218
 -0.4644 -0.4220 -0.3918 -0.3701 -0.3537 -0.3404 -0.3297 -0.3217 -0.3164 -0.3159
 -0.3218
 -4.4572 -3.8504 -3.3419 -2.9222 -2.5890 -2.3301 -2.1263 -1.9597 -1.8176 -1.6915
 -1.5787 -1.4775 -1.3833 -1.2929 -1.2039 -0.9982 -0.8343 -0.7054 -0.6034 -0.5247
 -0.4660 -0.4238 -0.3950 -0.3761 -0.3636 -0.3546 -0.3479 -0.3431 -0.3401 -0.3396
 -0.3426
 -4.7188 -4.1043 -3.5712 -3.1118 -2.7277 -2.4189 -2.1761 -1.9837 -1.8262 -1.6915
 -1.5720 -1.4642 -1.3668 -1.2789 -1.1991 -1.0113 -0.8473 -0.7160 -0.6108 -0.5286
 -0.4674 -0.4241 -0.3956 -0.3785 -0.3692 -0.3646 -0.3626 -0.3620 -0.3624 -0.3642
 -0.3664
 -4.9742 -4.3770 -3.8157 -3.3370 -2.9179 -2.5652 -2.2762 -2.0457 -1.8617 -1.7108
 -1.5826 -1.4698 -1.3683 -1.2765 -1.1777 -1.0234 -0.8614 -0.7282 -0.6200
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F547M
 -3.9552 -3.5562 -3.2325 -2.9767 -2.7313 -2.5114 -2.3161 -2.1392 -1.9756 -1.8314
 -1.6929 -1.5618 -1.4398 -1.3282 -1.2271 -1.0161 -0.8473 -0.7117 -0.6048
 -4.0421 -3.5917 -3.2261 -2.9343 -2.6886 -2.4628 -2.2648 -2.0883 -1.9255 -1.7812
 -1.6439 -1.5143 -1.3938 -1.2835 -1.1837 -0.9787 -0.8224 -0.6972 -0.5922 -0.5013
 -3.8436 -3.6646 -3.2700 -2.9443 -2.6760 -2.4412 -2.2362 -2.0582 -1.8969 -1.7527
