 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F336W
 -1.3848 -1.1692 -1.0276 -0.9440 -0.8991 -0.8781 -0.8714 -0.8730 -0.8781 -0.8830
 -0.8850
-10.6085 -9.6459 -8.7328 -7.9291 -7.2663 -6.7449 -6.3401 -6.0135 -5.7255 -5.4501
 -5.1845 -4.9395 -4.7178 -4.5065 -4.2829 -3.6495 -3.0323 -2.5012 -2.0490 -1.6715
 -1.3649 -1.1287 -0.9645 -0.8625 -0.8049 -0.7758 -0.7648 -0.7646 -0.7704 -0.7779
 -0.7862
-10.9476-10.0339 -9.1152 -8.2590 -7.5118 -6.8924 -6.3960 -6.0004 -5.6751 -5.3881
 -5.1168 -4.8555 -4.6104 -4.3848 -4.1763 -3.6574 -3.0845 -2.5462 -2.0863 -1.6986
 -1.3777 -1.1206 -0.9303 -0.8038 -0.7278 -0.6861 -0.6669 -0.6619 -0.6657 -0.6743
 -0.6849
-11.2604-10.4167 -9.5306 -8.6618 -7.8603 -7.1605 -6.5746 -6.0969 -5.7081 -5.3837
 -5.0985 -4.8332 -4.5792 -4.3381 -4.1126 -3.6136 -3.1237 -2.6115 -2.1439 -1.7457
 -1.4118 -1.1371 -0.9227 -0.7699 -0.6710 -0.6124 -0.5814 -0.5685 -0.5675 -0.5742
 -0.5849
-11.5455-10.7633 -9.9369 -9.0890 -8.2718 -7.5215 -6.8625 -6.3042 -5.8410 -5.4572
 -5.1336 -4.8497 -4.5891 -4.3419 -4.1058 -3.5785 -3.1231 -2.6679 -2.2135
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F336W
-12.3605-11.6951-11.0675-10.3897 -9.4861 -8.5743 -7.9912 -7.5979 -7.2917 -7.0061
 -6.7356 -6.4748 -6.2213 -5.9723 -5.7249 -5.0974 -4.4601 -3.8405 -3.2436
-11.2369-10.8511-10.3921 -9.9262 -9.3162 -8.4792 -7.7876 -7.3236 -6.9660 -6.6560
 -6.3656 -6.0898 -5.8249 -5.5671 -5.3124 -4.6809 -4.0577 -3.4689 -2.9434 -2.5108
-10.1821 -9.8806 -9.6876 -9.3864 -9.0109 -8.4436 -7.7224 -7.1503 -6.7340 -6.3903
 -6.0786 -5.7863 -5.5094 -5.2436 -4.9845 -4.3546 -3.7468 -3.1857 -2.6980 -2.2986
 -2.0024
 -9.7944 -9.1502 -8.8597 -8.7541 -8.5584 -8.2371 -7.7248 -7.0978 -6.5940 -6.2065
 -5.8716 -5.5617 -5.2715 -4.9968 -4.7333 -4.1065 -3.5129 -2.9709 -2.5059 -2.1268
 -1.8411 -1.6486
 -9.7110 -8.8942 -8.3601 -8.0628 -7.9360 -7.8158 -7.5495 -7.1082 -6.5619 -6.1051
 -5.7397 -5.4119 -5.1078 -4.8230 -4.5534 -3.9262 -3.3439 -2.8141 -2.3608 -1.9921
 -1.7095 -1.5142 -1.3926 -1.3204
 -9.8263 -8.8850 -8.1901 -7.7204 -7.4143 -7.2209 -7.0916 -6.9015 -6.5546 -6.0960
 -5.6766 -5.3290 -5.0111 -4.7155 -4.4380 -3.8051 -3.2294 -2.7072 -2.2583 -1.8917
 -1.6066 -1.4030 -1.2729 -1.1969 -1.1543 -1.1322 -1.1212 -1.1138 -1.1032 -1.0833
-10.0950 -9.0672 -8.2318 -7.6180 -7.1832 -6.8703 -6.6267 -6.4293 -6.2517 -6.0132
 -5.6664 -5.3009 -4.9714 -4.6654 -4.3794 -3.7355 -3.1614 -2.6433 -2.1943 -1.8241
 -1.5318 -1.3157 -1.1720 -1.0859 -1.0386 -1.0145 -1.0036 -0.9990 -0.9956 -0.9886
 -0.9737
-10.4522 -9.3939 -8.4560 -7.7009 -7.1364 -6.7230 -6.4064 -6.1381 -5.8954 -5.6772
 -5.4709 -5.2301 -4.9507 -4.6581 -4.3693 -3.7117 -3.1339 -2.6168 -2.1655 -1.7881
 -1.4849 -1.2532 -1.0916 -0.9904 -0.9330 -0.9032 -0.8903 -0.8862 -0.8862 -0.8865
 -0.8837
-10.8528 -9.7771 -8.8052 -7.9452 -7.2529 -6.7228 -6.3216 -6.0031 -5.7259 -5.4671
 -5.2258 -5.0073 -4.8033 -4.5913 -4.3577 -3.7238 -3.1383 -2.6187 -2.1637 -1.7779
 -1.4619 -1.2129 -1.0307 -0.9106 -0.8394 -0.8010 -0.7832 -0.7775 -0.7787 -0.7826
 -0.7864
-11.2516-10.2568 -9.2498 -8.3237 -7.5293 -6.8833 -6.3765 -5.9814 -5.6618 -5.3825
 -5.1223 -4.8771 -4.6528 -4.4496 -4.2584 -3.7478 -3.1805 -2.6563 -2.1964 -1.8013
 -1.4713 -1.2039 -0.9985 -0.8548 -0.7640 -0.7120 -0.6857 -0.6753 -0.6746 -0.6794
 -0.6865
-11.5995-10.6993 -9.7297 -8.7790 -7.9181 -7.1790 -6.5701 -6.0817 -5.6910 -5.3699
