 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -0.3760 -0.2999 -0.2364 -0.1815 -0.1328 -0.0885 -0.0483 -0.0119  0.0206  0.0479
  0.0658
 -4.3907 -4.0187 -3.6774 -3.3656 -3.0871 -2.8435 -2.6332 -2.4491 -2.2821 -2.1275
 -1.9859 -1.8576 -1.7367 -1.6113 -1.4810 -1.1737 -0.9258 -0.7334 -0.5850 -0.4691
 -0.3779 -0.3056 -0.2473 -0.1985 -0.1560 -0.1175 -0.0823 -0.0499 -0.0204  0.0054
  0.0257
 -4.4519 -4.0769 -3.7347 -3.4181 -3.1302 -2.8738 -2.6496 -2.4544 -2.2821 -2.1245
 -1.9774 -1.8405 -1.7147 -1.5983 -1.4855 -1.2019 -0.9459 -0.7441 -0.5897 -0.4714
 -0.3802 -0.3097 -0.2550 -0.2116 -0.1753 -0.1432 -0.1140 -0.0868 -0.0615 -0.0387
 -0.0190
 -4.5235 -4.1384 -3.7968 -3.4803 -3.1873 -2.9215 -2.6848 -2.4770 -2.2950 -2.1330
 -1.9848 -1.8461 -1.7160 -1.5945 -1.4802 -1.2183 -0.9724 -0.7613 -0.5986 -0.4754
 -0.3822 -0.3117 -0.2588 -0.2191 -0.1882 -0.1626 -0.1401 -0.1191 -0.0994 -0.0810
 -0.0633
 -4.6111 -4.2031 -3.8574 -3.5433 -3.2512 -2.9811 -2.7353 -2.5158 -2.3222 -2.1514
 -1.9987 -1.8591 -1.7287 -1.6054 -1.4884 -1.2248 -0.9938 -0.7849 -0.6128
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  g   
 -5.0919 -4.6003 -4.1658 -3.8026 -3.4847 -3.1950 -2.9454 -2.7129 -2.5064 -2.3218
 -2.1482 -1.9879 -1.8415 -1.7087 -1.5881 -1.3289 -1.1065 -0.9003 -0.7039
 -4.8023 -4.5919 -4.1592 -3.7639 -3.4214 -3.1199 -2.8612 -2.6293 -2.4206 -2.2331
 -2.0585 -1.8977 -1.7508 -1.6175 -1.4970 -1.2427 -1.0305 -0.8389 -0.6616 -0.5002
 -4.5374 -4.4574 -4.1668 -3.7814 -3.4188 -3.0973 -2.8243 -2.5865 -2.3759 -2.1865
 -2.0114 -1.8497 -1.7013 -1.5662 -1.4440 -1.1881 -0.9801 -0.7975 -0.6324 -0.4844
 -0.3552
 -4.3356 -4.0796 -3.9974 -3.7916 -3.4531 -3.1223 -2.8288 -2.5777 -2.3608 -2.1684
 -1.9927 -1.8300 -1.6799 -1.5425 -1.4174 -1.1559 -0.9478 -0.7701 -0.6133 -0.4751
 -0.3552 -0.2522
 -4.3078 -3.9503 -3.6934 -3.5652 -3.4418 -3.1656 -2.8680 -2.5995 -2.3697 -2.1706
 -1.9933 -1.8297 -1.6780 -1.5381 -1.4098 -1.1400 -0.9284 -0.7527 -0.6014 -0.4705
 -0.3581 -0.2619 -0.1787 -0.1061
 -4.3305 -3.9423 -3.6176 -3.3671 -3.1952 -3.0812 -2.9031 -2.6475 -2.4029 -2.1910
 -2.0076 -1.8428 -1.6897 -1.5476 -1.4162 -1.1369 -0.9188 -0.7424 -0.5943 -0.4688
 -0.3626 -0.2723 -0.1947 -0.1268 -0.0669 -0.0137  0.0338  0.0759  0.1089  0.1272
 -4.3863 -3.9786 -3.6259 -3.3290 -3.0900 -2.9018 -2.7543 -2.6235 -2.4452 -2.2314
 -2.0353 -1.8658 -1.7114 -1.5675 -1.4336 -1.1445 -0.9177 -0.7377 -0.5907 -0.4687
 -0.3672 -0.2823 -0.2102 -0.1474 -0.0921 -0.0427  0.0010  0.0399  0.0740  0.0989
  0.1096
 -4.4671 -4.0450 -3.6727 -3.3504 -3.0786 -2.8527 -2.6650 -2.5025 -2.3611 -2.2264
 -2.0693 -1.8975 -1.7409 -1.5956 -1.4594 -1.1614 -0.9245 -0.7384 -0.5899 -0.4696
 -0.3713 -0.2908 -0.2238 -0.1666 -0.1166 -0.0719 -0.0321  0.0044  0.0361  0.0612
  0.0785
 -4.5599 -4.1292 -3.7427 -3.4010 -3.1053 -2.8545 -2.6443 -2.4639 -2.3023 -2.1552
 -2.0218 -1.8942 -1.7609 -1.6242 -1.4890 -1.1840 -0.9368 -0.7426 -0.5903 -0.4696
 -0.3732 -0.2960 -0.2336 -0.1819 -0.1376 -0.0985 -0.0636 -0.0318 -0.0035  0.0205
  0.0397
 -4.6662 -4.2298 -3.8356 -3.4803 -3.1656 -2.8933 -2.6614 -2.4646 -2.2935 -2.1385
 -1.9950 -1.8626 -1.7408 -1.6260 -1.5098 -1.2162 -0.9593 -0.7555 -0.5967 -0.4731
 -0.3763 -0.3006 -0.2412 -0.1941 -0.1555 -0.1224 -0.0932 -0.0667 -0.0427 -0.0205
 -0.0033
 -4.7784 -4.3348 -3.9374 -3.5755 -3.2479 -2.9580 -2.7061 -2.4904 -2.3055 -2.1435
 -1.9965 -1.8598 -1.7324 -1.6147 -1.5044 -1.2416 -0.9887 -0.7749 -0.6077 -0.4788
 -0.3797 -0.3036 -0.2457 -0.2018 -0.1679 -0.1407 -0.1176 -0.0971 -0.0785 -0.0616
 -0.0452
 -4.9005 -4.4376 -4.0386 -3.6760 -3.3436 -3.0421 -2.7741 -2.5402 -2.3382 -2.1636
 -2.0099 -1.8706 -1.7414 -1.6203 -1.5066 -1.2494 -1.0153 -0.8009 -0.6243
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  g   
 -4.9367 -4.4518 -4.0432 -3.7053 -3.3990 -3.1225 -2.8860 -2.6640 -2.4579 -2.2777
 -2.1089 -1.9523 -1.8093 -1.6790 -1.5608 -1.3076 -1.0867 -0.8884 -0.7098
 -4.8559 -4.4940 -4.0574 -3.6780 -3.3529 -3.0624 -2.8172 -2.5916 -2.3851 -2.2024
 -2.0323 -1.8751 -1.7314 -1.6007 -1.4821 -1.2322 -1.0259 -0.8408 -0.6684 -0.5085
 -4.6861 -4.4943 -4.1074 -3.7098 -3.3571 -3.0487 -2.7853 -2.5560 -2.3491 -2.1636
 -1.9929 -1.8349 -1.6898 -1.5574 -1.4371 -1.1848 -0.9810 -0.8026 -0.6399 -0.4919
 -0.3607
 -4.4560 -4.2163 -4.0927 -3.7622 -3.4019 -3.0763 -2.7921 -2.5499 -2.3386 -2.1499
 -1.9784 -1.8194 -1.6727 -1.5380 -1.4150 -1.1569 -0.9519 -0.7770 -0.6210 -0.4814
 -0.3588 -0.2527
 -4.3092 -3.9700 -3.7899 -3.7071 -3.4506 -3.1295 -2.8318 -2.5715 -2.3488 -2.1545
 -1.9810 -1.8210 -1.6726 -1.5357 -1.4098 -1.1436 -0.9342 -0.7605 -0.6089 -0.4756
 -0.3598 -0.2602 -0.1744 -0.0999
 -4.3474 -3.9474 -3.6331 -3.4247 -3.3189 -3.1608 -2.8892 -2.6194 -2.3804 -2.1755
 -1.9962 -1.8349 -1.6851 -1.5461 -1.4174 -1.1422 -0.9259 -0.7506 -0.6016 -0.4730
 -0.3627 -0.2686 -0.1879 -0.1178 -0.0561 -0.0022  0.0458  0.0883  0.1205  0.1383
 -4.4321 -3.9958 -3.6315 -3.3396 -3.1229 -2.9737 -2.8550 -2.6694 -2.4343 -2.2142
 -2.0244 -1.8583 -1.7072 -1.5664 -1.4353 -1.1511 -0.9258 -0.7463 -0.5979 -0.4723
 -0.3662 -0.2769 -0.2012 -0.1359 -0.0787 -0.0284  0.0166  0.0557  0.0882  0.1121
  0.1223
 -4.5546 -4.0876 -3.6890 -3.3555 -3.0844 -2.8716 -2.7027 -2.5644 -2.4314 -2.2616
 -2.0680 -1.8916 -1.7371 -1.5950 -1.4617 -1.1693 -0.9340 -0.7477 -0.5973 -0.4729
 -0.3697 -0.2843 -0.2131 -0.1527 -0.1005 -0.0548 -0.0146  0.0205  0.0511  0.0767
  0.0931
