 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -3.1703 -3.0441 -2.9368 -2.8444 -2.7630 -2.6899 -2.6233 -2.5616 -2.5075 -2.4736
 -7.8871 -7.4613 -7.0744 -6.7384 -6.4576 -6.2283 -6.0337 -5.8688 -5.7162 -5.5244
 -5.3008 -5.0929 -4.9007 -4.7193 -4.5497 -4.1861 -3.9007 -3.6699 -3.4780 -3.3159
 -3.1772 -3.0583 -2.9573 -2.8711 -2.7956 -2.7280 -2.6667 -2.6110 -2.5601 -2.5168
 -2.4925
 -7.9154 -7.5003 -7.1094 -6.7559 -6.4489 -6.1902 -5.9713 -5.7765 -5.5993 -5.4397
 -5.2859 -5.1133 -4.9304 -4.7495 -4.5768 -4.1991 -3.9020 -3.6667 -3.4759 -3.3177
 -3.1847 -3.0720 -2.9770 -2.8967 -2.8274 -2.7656 -2.7101 -2.6598 -2.6136 -2.5721
 -2.5393
 -7.9466 -7.5399 -7.1556 -6.7953 -6.4718 -6.1908 -5.9513 -5.7442 -5.5563 -5.3805
 -5.2168 -5.0656 -4.9190 -4.7652 -4.6046 -4.2215 -3.9111 -3.6682 -3.4757 -3.3194
 -3.1902 -3.0825 -2.9928 -2.9184 -2.8554 -2.8001 -2.7504 -2.7051 -2.6639 -2.6269
 -2.5950
 -7.9777 -7.5854 -7.2117 -6.8537 -6.5214 -6.2238 -5.9648 -5.7415 -5.5460 -5.3669
 -5.1977 -5.0374 -4.8873 -4.7451 -4.6060 -4.2543 -3.9344 -3.6808 -3.4831 -3.3257
 -3.1978 -3.0929 -3.0070 -2.9374 -2.8802 -2.8314 -2.7883 -2.7491 -2.7131 -2.6806
 -2.6517
 -8.0085 -7.6180 -7.2600 -6.9144 -6.5836 -6.2772 -6.0025 -5.7620 -5.5527 -5.3674
 -5.1974 -5.0363 -4.8824 -4.7355 -4.5953 -4.2709 -3.9661 -3.7021 -3.4958 -3.3345
 -3.2057 -3.1016 -3.0179 -2.9516 -2.8991 -2.8564 -2.8202 -2.7878 -2.7582 -2.7310
 -2.7054
 -8.0499 -7.6417 -7.2913 -6.9624 -6.6443 -6.3405 -6.0580 -5.8033 -5.5785 -5.3811
 -5.2052 -5.0437 -4.8909 -4.7438 -4.6016 -4.2755 -3.9899 -3.7313 -3.5151
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = BX   
 -8.8139 -8.2535 -7.7452 -7.3190 -6.9523 -6.6260 -6.3495 -6.0931 -5.8640 -5.6618
 -5.4698 -5.2899 -5.1228 -4.9687 -4.8267 -4.5135 -4.2333 -3.9637 -3.6996
 -8.4507 -8.2219 -7.7377 -7.2824 -6.8859 -6.5410 -6.2489 -5.9885 -5.7542 -5.5460
 -5.3506 -5.1680 -4.9984 -4.8422 -4.6990 -4.3894 -4.1202 -3.8687 -3.6297 -3.4074
 -8.1341 -8.0351 -7.7252 -7.3015 -6.8891 -6.5190 -6.2055 -5.9340 -5.6943 -5.4805
 -5.2823 -5.0969 -4.9243 -4.7648 -4.6187 -4.3062 -4.0419 -3.8018 -3.5793 -3.3755
 -3.1934
 -7.9050 -7.6060 -7.5090 -7.2916 -6.9251 -6.5521 -6.2138 -5.9228 -5.6723 -5.4510
 -5.2500 -5.0618 -4.8858 -4.7224 -4.5722 -4.2524 -3.9887 -3.7555 -3.5445 -3.3543
 -3.1851 -3.0378
 -7.8786 -7.4593 -7.1656 -7.0226 -6.8906 -6.5944 -6.2614 -5.9510 -5.6823 -5.4497
 -5.2436 -5.0527 -4.8734 -4.7060 -4.5511 -4.2207 -3.9538 -3.7243 -3.5211 -3.3414
 -3.1829 -3.0444 -2.9254 -2.8234
 -7.9100 -7.4553 -7.0780 -6.7948 -6.6061 -6.4823 -6.2896 -6.0058 -5.7240 -5.4742
 -5.2573 -5.0628 -4.8805 -4.7094 -4.5497 -4.2068 -3.9331 -3.7043 -3.5064 -3.3344
 -3.1847 -3.0542 -2.9417 -2.8451 -2.7614 -2.6870 -2.6185 -2.5545 -2.5006 -2.4665
 -7.9731 -7.5026 -7.0909 -6.7482 -6.4789 -6.2719 -6.1110 -5.9665 -5.7671 -5.5228
 -5.2911 -5.0879 -4.9026 -4.7282 -4.5644 -4.2078 -3.9244 -3.6932 -3.4981 -3.3317
 -3.1889 -3.0655 -2.9594 -2.8685 -2.7899 -2.7206 -2.6592 -2.6030 -2.5507 -2.5077
 -2.4831
 -8.0536 -7.5788 -7.1490 -6.7743 -6.4617 -6.2065 -5.9985 -5.8195 -5.6622 -5.5094
 -5.3284 -5.1261 -4.9367 -4.7596 -4.5921 -4.2225 -3.9268 -3.6901 -3.4953 -3.3322
 -3.1943 -3.0770 -2.9767 -2.8915 -2.8188 -2.7551 -2.6988 -2.6473 -2.6010 -2.5612
 -2.5284
 -8.1326 -7.6646 -7.2287 -6.8348 -6.4919 -6.2035 -5.9653 -5.7639 -5.5839 -5.4186
 -5.2661 -5.1176 -4.9583 -4.7923 -4.6266 -4.2466 -3.9375 -3.6923 -3.4951 -3.3332
 -3.1987 -3.0858 -2.9909 -2.9113 -2.8444 -2.7869 -2.7365 -2.6911 -2.6503 -2.6143
 -2.5829
 -8.2110 -7.7546 -7.3245 -6.9237 -6.5615 -6.2464 -5.9795 -5.7554 -5.5627 -5.3882
 -5.2249 -5.0721 -4.9289 -4.7902 -4.6481 -4.2845 -3.9624 -3.7062 -3.5032 -3.3397
 -3.2060 -3.0957 -3.0045 -2.9295 -2.8679 -2.8163 -2.7721 -2.7328 -2.6975 -2.6651
 -2.6380
 -8.2831 -7.8336 -7.4162 -7.0209 -6.6519 -6.3191 -6.0281 -5.7793 -5.5678 -5.3837
 -5.2164 -5.0592 -4.9104 -4.7703 -4.6362 -4.3119 -3.9972 -3.7288 -3.5172 -3.3494
 -3.2144 -3.1046 -3.0156 -2.9438 -2.8865 -2.8405 -2.8024 -2.7695 -2.7403 -2.7141
 -2.6894
 -8.3587 -7.8969 -7.4913 -7.1100 -6.7476 -6.4093 -6.1027 -5.8328 -5.5996 -5.3988
 -5.2227 -5.0628 -4.9127 -4.7698 -4.6331 -4.3167 -4.0269 -3.7603 -3.5381
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = BX   
 -8.6545 -8.0887 -7.6026 -7.2033 -6.8501 -6.5393 -6.2775 -6.0329 -5.8056 -5.6094
 -5.4248 -5.2514 -5.0904 -4.9413 -4.8038 -4.5012 -4.2261 -3.9687 -3.7270
 -8.5166 -8.1269 -7.6254 -7.1809 -6.8023 -6.4706 -6.1946 -5.9421 -5.7116 -5.5105
 -5.3224 -5.1466 -4.9833 -4.8322 -4.6931 -4.3918 -4.1320 -3.8898 -3.6580 -3.4386
 -8.2998 -8.0898 -7.6723 -7.2228 -6.8147 -6.4581 -6.1568 -5.8964 -5.6620 -5.4548
 -5.2642 -5.0859 -4.9198 -4.7658 -4.6239 -4.3185 -4.0612 -3.8273 -3.6083 -3.4052
 -3.2216
 -8.0347 -7.7557 -7.6216 -7.2714 -6.8700 -6.4961 -6.1672 -5.8879 -5.6454 -5.4303
 -5.2367 -5.0558 -4.8868 -4.7293 -4.5835 -4.2705 -4.0122 -3.7833 -3.5733 -3.3820
 -3.2104 -3.0589
 -7.8748 -7.4775 -7.2711 -7.1803 -6.9117 -6.5588 -6.2186 -5.9158 -5.6565 -5.4311
 -5.2321 -5.0483 -4.8762 -4.7151 -4.5652 -4.2419 -3.9793 -3.7527 -3.5493 -3.3667
 -3.2050 -3.0623 -2.9382 -2.8318
 -7.9253 -7.4564 -7.0925 -6.8585 -6.7434 -6.5768 -6.2821 -5.9758 -5.6965 -5.4558
 -5.2457 -5.0583 -4.8831 -4.7186 -4.5645 -4.2293 -3.9593 -3.7325 -3.5334 -3.3577
 -3.2038 -3.0690 -2.9513 -2.8496 -2.7613 -2.6843 -2.6138 -2.5477 -2.4938 -2.4592
 -8.0230 -7.5190 -7.0941 -6.7584 -6.5164 -6.3544 -6.2265 -6.0248 -5.7609 -5.5046
 -5.2796 -5.0829 -4.9044 -4.7366 -4.5787 -4.2312 -3.9509 -3.7208 -3.5240 -3.3531
 -3.2053 -3.0772 -2.9660 -2.8698 -2.7869 -2.7148 -2.6501 -2.5920 -2.5405 -2.4980
 -2.4731
 -8.1516 -7.6256 -7.1658 -6.7784 -6.4676 -6.2293 -6.0443 -5.8936 -5.7468 -5.5561
 -5.3333 -5.1232 -4.9378 -4.7672 -4.6058 -4.2464 -3.9539 -3.7174 -3.5202 -3.3522
 -3.2087 -3.0861 -2.9806 -2.8900 -2.8126 -2.7459 -2.6879 -2.6369 -2.5906 -2.5488
 -2.5164
 -8.2972 -7.7527 -7.2733 -6.8529 -6.4979 -6.2097 -5.9806 -5.7916 -5.6266 -5.4768
 -5.3277 -5.1596 -4.9774 -4.8044 -4.6406 -4.2713 -3.9656 -3.7200 -3.5195 -3.3523
 -3.2117 -3.0931 -2.9927 -2.9076 -2.8357 -2.7747 -2.7223 -2.6765 -2.6359 -2.6001
 -2.5691
 -8.4257 -7.8915 -7.4070 -6.9677 -6.5816 -6.2546 -5.9860 -5.7669 -5.5819 -5.4158
 -5.2621 -5.1181 -4.9772 -4.8308 -4.6800 -4.3106 -3.9921 -3.7350 -3.5281 -3.3589
 -3.2187 -3.1022 -3.0053 -2.9246 -2.8576 -2.8021 -2.7554 -2.7152 -2.6800 -2.6491
 -2.6225
 -8.5393 -8.0220 -7.5434 -7.1002 -6.6968 -6.3416 -6.0390 -5.7871 -5.5781 -5.3989
 -5.2373 -5.0864 -4.9446 -4.8107 -4.6804 -4.3497 -4.0288 -3.7592 -3.5435 -3.3695
 -3.2277 -3.1114 -3.0163 -2.9387 -2.8758 -2.8251 -2.7841 -2.7498 -2.7203 -2.6948
 -2.6714
 -8.6381 -8.1441 -7.6628 -7.2310 -6.8257 -6.4562 -6.1285 -5.8470 -5.6097 -5.4095
 -5.2366 -5.0808 -4.9354 -4.7980 -4.6418 -4.3886 -4.0757 -3.7926 -3.5657
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = BX   
 -8.5042 -7.9439 -7.4839 -7.1144 -6.7730 -6.4785 -6.2207 -5.9853 -5.7638 -5.5744
 -5.3954 -5.2278 -5.0719 -4.9276 -4.7940 -4.4993 -4.2331 -3.9861 -3.7561
 -8.5539 -8.0190 -7.5206 -7.0939 -6.7359 -6.4197 -6.1491 -5.9069 -5.6814 -5.4876
 -5.3059 -5.1362 -4.9784 -4.8322 -4.6969 -4.4025 -4.1498 -3.9153 -3.6899 -3.4735
 -8.2458 -8.0742 -7.5868 -7.1467 -6.7523 -6.4103 -6.1195 -5.8680 -5.6384 -5.4387
