 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  y   
 -0.7747 -0.7336 -0.6959 -0.6615 -0.6301 -0.5655 -0.5223 -0.5037 -0.5181
 -1.3000 -1.3476 -1.3047 -1.2175 -1.1306 -1.0448 -0.9758 -0.9203 -0.8692 -0.8196
 -0.7768 -0.7381 -0.7029 -0.6708 -0.6415 -0.5825 -0.5448 -0.5313 -0.5475 -0.5877
 -1.1642 -1.1476 -1.1897 -1.1829 -1.1163 -1.0437 -0.9738 -0.9165 -0.8665 -0.8179
 -0.7771 -0.7405 -0.7075 -0.6775 -0.6502 -0.5955 -0.5621 -0.5527 -0.5697 -0.6089
 -0.6582
 -1.0944 -1.0466 -1.0167 -1.0328 -1.0587 -1.0236 -0.9666 -0.9100 -0.8613 -0.8147
 -0.7751 -0.7405 -0.7094 -0.6813 -0.6558 -0.6048 -0.5748 -0.5687 -0.5866 -0.6249
 -0.6743 -0.7262
 -1.0274 -0.9889 -0.9431 -0.9088 -0.9005 -0.9227 -0.9293 -0.8958 -0.8524 -0.8102
 -0.7707 -0.7377 -0.7085 -0.6822 -0.6585 -0.6110 -0.5837 -0.5800 -0.5990 -0.6370
 -0.6866 -0.7397 -0.7925 -0.8438
 -0.9504 -0.9309 -0.8949 -0.8539 -0.8205 -0.8013 -0.8021 -0.8189 -0.8210 -0.7977
 -0.7638 -0.7322 -0.7047 -0.6801 -0.6581 -0.6140 -0.5892 -0.5876 -0.6076 -0.6455
 -0.6955 -0.7501 -0.8047 -0.8583 -0.9109 -0.9633 -1.0163 -1.0709 -1.1279 -1.1867
 -0.8602 -0.8609 -0.8432 -0.8123 -0.7776 -0.7477 -0.7263 -0.7159 -0.7192 -0.7314
 -0.7347 -0.7183 -0.6968 -0.6751 -0.6549 -0.6143 -0.5918 -0.5918 -0.6126 -0.6507
 -0.7011 -0.7574 -0.8144 -0.8702 -0.9247 -0.9782 -1.0311 -1.0846 -1.1400 -1.1991
 -1.2586
 -0.7576 -0.7759 -0.7780 -0.7644 -0.7398 -0.7119 -0.6866 -0.6671 -0.6545 -0.6494
 -0.6535 -0.6600 -0.6618 -0.6571 -0.6460 -0.6117 -0.5917 -0.5929 -0.6145 -0.6525
 -0.7032 -0.7611 -0.8208 -0.8795 -0.9366 -0.9922 -1.0459 -1.0992 -1.1538 -1.2109
 -1.2715
 -0.6464 -0.6774 -0.6964 -0.7012 -0.6928 -0.6754 -0.6544 -0.6345 -0.6185 -0.6070
 -0.6002 -0.5980 -0.5990 -0.6036 -0.6078 -0.6034 -0.5882 -0.5911 -0.6133 -0.6514
 -0.7022 -0.7616 -0.8243 -0.8865 -0.9470 -1.0056 -1.0627 -1.1184 -1.1733 -1.2290
 -1.2857
 -0.5305 -0.5695 -0.6009 -0.6217 -0.6304 -0.6282 -0.6180 -0.6039 -0.5899 -0.5780
 -0.5690 -0.5629 -0.5587 -0.5571 -0.5593 -0.5729 -0.5799 -0.5860 -0.6086 -0.6463
 -0.6966 -0.7565 -0.8216 -0.8875 -0.9519 -1.0141 -1.0744 -1.1328 -1.1898 -1.2460
 -1.3022
 -0.4123 -0.4565 -0.4962 -0.5283 -0.5512 -0.5645 -0.5686 -0.5655 -0.5585 -0.5502
 -0.5428 -0.5370 -0.5326 -0.5292 -0.5274 -0.5358 -0.5556 -0.5759 -0.6010 -0.6386
 -0.6880 -0.7475 -0.8140 -0.8830 -0.9514 -1.0177 -1.0818 -1.1437 -1.2037 -1.2623
 -1.3196
 -0.2921 -0.3402 -0.3854 -0.4256 -0.4590 -0.4847 -0.5025 -0.5127 -0.5167 -0.5163
 -0.5138 -0.5111 -0.5089 -0.5072 -0.5058 -0.5091 -0.5279 -0.5565 -0.5895
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  y   
 -1.5174 -1.4179 -1.3090 -1.2117 -1.1211 -1.0336 -0.9674 -0.9135 -0.8667 -0.8169
 -0.7743 -0.7356 -0.7005 -0.6686 -0.6396 -0.5791 -0.5377 -0.5179 -0.5176
 -1.3924 -1.3892 -1.3023 -1.2049 -1.1184 -1.0363 -0.9687 -0.9139 -0.8632 -0.8160
 -0.7753 -0.7389 -0.7059 -0.6761 -0.6489 -0.5935 -0.5568 -0.5397 -0.5466 -0.5792
 -1.2052 -1.2342 -1.2567 -1.1913 -1.1091 -1.0341 -0.9665 -0.9105 -0.8611 -0.8137
 -0.7748 -0.7402 -0.7092 -0.6813 -0.6559 -0.6045 -0.5713 -0.5583 -0.5680 -0.6002
 -0.6467
 -1.1285 -1.0805 -1.0805 -1.1184 -1.0879 -1.0234 -0.9607 -0.9044 -0.8562 -0.8106
 -0.7723 -0.7395 -0.7102 -0.6840 -0.6604 -0.6124 -0.5820 -0.5722 -0.5840 -0.6162
 -0.6625 -0.7140
 -1.0704 -1.0194 -0.9710 -0.9507 -0.9728 -0.9845 -0.9452 -0.8951 -0.8486 -0.8070
 -0.7680 -0.7364 -0.7088 -0.6843 -0.6622 -0.6177 -0.5897 -0.5823 -0.5959 -0.6283
 -0.6744 -0.7267 -0.7797 -0.8319
 -1.0042 -0.9697 -0.9225 -0.8772 -0.8488 -0.8462 -0.8654 -0.8655 -0.8353 -0.7989
 -0.7627 -0.7312 -0.7050 -0.6820 -0.6615 -0.6203 -0.5948 -0.5892 -0.6043 -0.6370
 -0.6831 -0.7363 -0.7910 -0.8451 -0.8979 -0.9506 -1.0049 -1.0617 -1.1208 -1.1790
 -0.9244 -0.9103 -0.8790 -0.8378 -0.7978 -0.7683 -0.7536 -0.7558 -0.7691 -0.7706
 -0.7519 -0.7236 -0.6987 -0.6772 -0.6582 -0.6205 -0.5973 -0.5934 -0.6094 -0.6425
 -0.6887 -0.7430 -0.7997 -0.8559 -0.9111 -0.9655 -1.0192 -1.0739 -1.1311 -1.1911
 -1.2509
 -0.8301 -0.8354 -0.8239 -0.7980 -0.7640 -0.7302 -0.7034 -0.6858 -0.6783 -0.6817
 -0.6916 -0.6948 -0.6839 -0.6683 -0.6521 -0.6181 -0.5974 -0.5948 -0.6116 -0.6448
 -0.6912 -0.7463 -0.8053 -0.8643 -0.9221 -0.9786 -1.0343 -1.0893 -1.1448 -1.2023
 -1.2635
 -0.7249 -0.7458 -0.7518 -0.7444 -0.7251 -0.6989 -0.6719 -0.6492 -0.6330 -0.6233
 -0.6205 -0.6244 -0.6290 -0.6321 -0.6314 -0.6121 -0.5945 -0.5935 -0.6111 -0.6446
 -0.6911 -0.7470 -0.8082 -0.8704 -0.9315 -0.9910 -1.0491 -1.1060 -1.1623 -1.2188
 -1.2773
 -0.6129 -0.6427 -0.6642 -0.6741 -0.6720 -0.6599 -0.6416 -0.6215 -0.6039 -0.5905
 -0.5818 -0.5776 -0.5766 -0.5781 -0.5825 -0.5929 -0.5888 -0.5895 -0.6074 -0.6407
 -0.6868 -0.7429 -0.8057 -0.8710 -0.9357 -0.9986 -1.0599 -1.1195 -1.1778 -1.2353
 -1.2928
 -0.4981 -0.5334 -0.5645 -0.5878 -0.6013 -0.6050 -0.6002 -0.5896 -0.5767 -0.5645
 -0.5548 -0.5484 -0.5447 -0.5427 -0.5427 -0.5545 -0.5708 -0.5820 -0.6010 -0.6342
 -0.6797 -0.7355 -0.7989 -0.8666 -0.9348 -1.0016 -1.0666 -1.1295 -1.1907 -1.2506
 -1.3090
 -0.3812 -0.4198 -0.4573 -0.4897 -0.5154 -0.5329 -0.5424 -0.5446 -0.5417 -0.5356
 -0.5290 -0.5236 -0.5200 -0.5179 -0.5169 -0.5222 -0.5411 -0.5654 -0.5913
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  y   
 -1.5056 -1.3903 -1.2818 -1.1898 -1.1052 -1.0239 -0.9606 -0.9045 -0.8560 -0.8119
 -0.7715 -0.7346 -0.7016 -0.6718 -0.6448 -0.5884 -0.5494 -0.5269 -0.5221
 -1.3891 -1.3922 -1.2861 -1.1873 -1.1020 -1.0244 -0.9603 -0.9053 -0.8549 -0.8104
 -0.7716 -0.7368 -0.7057 -0.6777 -0.6524 -0.6006 -0.5656 -0.5475 -0.5482 -0.5718
 -1.2667 -1.3192 -1.2741 -1.1832 -1.0972 -1.0208 -0.9572 -0.9022 -0.8541 -0.8077
 -0.7703 -0.7374 -0.7080 -0.6818 -0.6582 -0.6100 -0.5780 -0.5634 -0.5678 -0.5926
 -0.6345
 -1.1552 -1.1269 -1.1699 -1.1587 -1.0877 -1.0153 -0.9513 -0.8969 -0.8498 -0.8044
 -0.7675 -0.7361 -0.7084 -0.6838 -0.6618 -0.6169 -0.5873 -0.5754 -0.5825 -0.6084
 -0.6500 -0.7000
 -1.1023 -1.0432 -1.0043 -1.0196 -1.0425 -0.9999 -0.9420 -0.8887 -0.8430 -0.8019
 -0.7633 -0.7329 -0.7067 -0.6836 -0.6631 -0.6216 -0.5943 -0.5843 -0.5935 -0.6203
 -0.6618 -0.7121 -0.7651 -0.8176
 -1.0477 -0.9986 -0.9434 -0.9013 -0.8912 -0.9132 -0.9133 -0.8754 -0.8331 -0.7948
 -0.7587 -0.7278 -0.7028 -0.6811 -0.6620 -0.6240 -0.5990 -0.5907 -0.6013 -0.6289
 -0.6705 -0.7212 -0.7755 -0.8299 -0.8836 -0.9376 -0.9930 -1.0508 -1.1110 -1.1699
 -0.9791 -0.9499 -0.9055 -0.8566 -0.8161 -0.7944 -0.7954 -0.8101 -0.8076 -0.7819
 -0.7517 -0.7214 -0.6967 -0.6764 -0.6587 -0.6240 -0.6016 -0.5948 -0.6064 -0.6346
 -0.6763 -0.7275 -0.7833 -0.8397 -0.8956 -0.9508 -1.0058 -1.0620 -1.1205 -1.1815
 -1.2418
 -0.8966 -0.8866 -0.8607 -0.8232 -0.7817 -0.7453 -0.7210 -0.7102 -0.7130 -0.7231
 -0.7250 -0.7110 -0.6885 -0.6692 -0.6529 -0.6215 -0.6017 -0.5965 -0.6088 -0.6374
 -0.6793 -0.7310 -0.7882 -0.8471 -0.9055 -0.9627 -1.0195 -1.0758 -1.1329 -1.1920
 -1.2540
 -0.7998 -0.8064 -0.7996 -0.7794 -0.7494 -0.7158 -0.6853 -0.6626 -0.6490 -0.6440
 -0.6473 -0.6556 -0.6584 -0.6523 -0.6423 -0.6159 -0.5990 -0.5955 -0.6088 -0.6378
 -0.6800 -0.7323 -0.7910 -0.8526 -0.9139 -0.9741 -1.0332 -1.0911 -1.1487 -1.2072
 -1.2672
 -0.6941 -0.7124 -0.7217 -0.7194 -0.7058 -0.6841 -0.6587 -0.6344 -0.6153 -0.6024
 -0.5956 -0.5946 -0.5984 -0.6022 -0.6060 -0.6056 -0.5941 -0.5922 -0.6060 -0.6348
 -0.6768 -0.7293 -0.7891 -0.8529 -0.9174 -0.9809 -1.0430 -1.1037 -1.1633 -1.2226
 -1.2816
 -0.5839 -0.6085 -0.6294 -0.6421 -0.6449 -0.6383 -0.6248 -0.6074 -0.5899 -0.5752
 -0.5649 -0.5590 -0.5570 -0.5575 -0.5596 -0.5732 -0.5830 -0.5862 -0.6006 -0.6294
 -0.6710 -0.7232 -0.7834 -0.8488 -0.9162 -0.9832 -1.0488 -1.1128 -1.1752 -1.2365
 -1.2963
 -0.4720 -0.4997 -0.5274 -0.5507 -0.5671 -0.5752 -0.5756 -0.5699 -0.5605 -0.5498
 -0.5401 -0.5332 -0.5293 -0.5279 -0.5280 -0.5366 -0.5552 -0.5740 -0.5925
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  y   
 -1.4745 -1.3568 -1.2538 -1.1682 -1.0841 -1.0064 -0.9483 -0.8968 -0.8460 -0.8040
 -0.7660 -0.7308 -0.6993 -0.6710 -0.6458 -0.5933 -0.5573 -0.5362 -0.5279
 -1.4400 -1.3745 -1.2633 -1.1673 -1.0853 -1.0086 -0.9495 -0.8961 -0.8446 -0.8024
 -0.7654 -0.7321 -0.7025 -0.6760 -0.6522 -0.6037 -0.5708 -0.5531 -0.5507 -0.5663
 -1.3544 -1.3565 -1.2668 -1.1676 -1.0824 -1.0077 -0.9451 -0.8927 -0.8453 -0.7995
 -0.7638 -0.7322 -0.7042 -0.6793 -0.6571 -0.6120 -0.5817 -0.5669 -0.5681 -0.5865
 -0.6222
 -1.2296 -1.2055 -1.2305 -1.1614 -1.0775 -1.0042 -0.9407 -0.8877 -0.8417 -0.7964
 -0.7609 -0.7307 -0.7042 -0.6809 -0.6602 -0.6183 -0.5901 -0.5774 -0.5813 -0.6017
 -0.6377 -0.6847
 -1.1252 -1.0666 -1.0607 -1.0993 -1.0622 -0.9953 -0.9339 -0.8807 -0.8356 -0.7951
 -0.7568 -0.7275 -0.7024 -0.6805 -0.6612 -0.6227 -0.5966 -0.5854 -0.5912 -0.6130
 -0.6494 -0.6965 -0.7487 -0.8012
 -1.0803 -1.0191 -0.9624 -0.9370 -0.9598 -0.9654 -0.9205 -0.8708 -0.8268 -0.7890
 -0.7528 -0.7226 -0.6985 -0.6780 -0.6601 -0.6249 -0.6013 -0.5915 -0.5984 -0.6214
 -0.6582 -0.7054 -0.7585 -0.8131 -0.8676 -0.9221 -0.9785 -1.0381 -1.0993 -1.1593
 -1.0256 -0.9796 -0.9244 -0.8722 -0.8389 -0.8364 -0.8542 -0.8474 -0.8139 -0.7788
 -0.7473 -0.7168 -0.6928 -0.6733 -0.6567 -0.6248 -0.6040 -0.5956 -0.6034 -0.6270
 -0.6642 -0.7117 -0.7657 -0.8220 -0.8783 -0.9342 -0.9904 -1.0480 -1.1080 -1.1701
 -1.2313
 -0.9544 -0.9286 -0.8883 -0.8408 -0.7949 -0.7610 -0.7452 -0.7476 -0.7582 -0.7551
 -0.7347 -0.7101 -0.6855 -0.6666 -0.6510 -0.6222 -0.6042 -0.5976 -0.6062 -0.6302
 -0.6676 -0.7156 -0.7705 -0.8286 -0.8871 -0.9451 -1.0026 -1.0600 -1.1187 -1.1797
 -1.2429
 -0.8698 -0.8604 -0.8386 -0.8057 -0.7666 -0.7281 -0.6973 -0.6779 -0.6705 -0.6733
 -0.6809 -0.6834 -0.6736 -0.6568 -0.6425 -0.6167 -0.6015 -0.5970 -0.6067 -0.6312
 -0.6690 -0.7175 -0.7735 -0.8336 -0.8947 -0.9553 -1.0152 -1.0745 -1.1334 -1.1933
 -1.2552
 -0.7701 -0.7769 -0.7719 -0.7563 -0.7316 -0.7014 -0.6707 -0.6446 -0.6263 -0.6160
 -0.6130 -0.6164 -0.6234 -0.6262 -0.6237 -0.6090 -0.5968 -0.5942 -0.6046 -0.6292
 -0.6669 -0.7156 -0.7723 -0.8339 -0.8976 -0.9611 -1.0238 -1.0855 -1.1465 -1.2071
 -1.2680
 -0.6614 -0.6804 -0.6893 -0.6893 -0.6805 -0.6640 -0.6427 -0.6200 -0.5997 -0.5843
 -0.5747 -0.5705 -0.5710 -0.5750 -0.5786 -0.5882 -0.5888 -0.5887 -0.6000 -0.6247
 -0.6622 -0.7107 -0.7676 -0.8304 -0.8962 -0.9628 -1.0287 -1.0935 -1.1572 -1.2199
 -1.2814
 -0.5439 -0.5708 -0.5929 -0.6067 -0.6120 -0.6099 -0.6016 -0.5888 -0.5741 -0.5600
