 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.1787 -1.0064 -0.8585 -0.7335 -0.6307 -0.5485 -0.4846 -0.4364 -0.4010 -0.3754
 -0.3571 -0.3452 -0.3395 -0.3385 -0.3380 -0.3215 -0.2887 -0.2683 -0.2627 -0.2702
 -0.2892 -0.3177 -0.3529 -0.3915 -0.4312 -0.4715 -0.5127 -0.5550 -0.5990 -0.6456
 -0.6960
 -1.1715 -1.0050 -0.8574 -0.7315 -0.6265 -0.5414 -0.4741 -0.4217 -0.3818 -0.3522
 -0.3303 -0.3142 -0.3025 -0.2946 -0.2908 -0.2899 -0.2786 -0.2623 -0.2581 -0.2661
 -0.2853 -0.3143 -0.3510 -0.3920 -0.4344 -0.4767 -0.5189 -0.5612 -0.6042 -0.6486
 -0.6950
 -1.1518 -0.9917 -0.8503 -0.7265 -0.6217 -0.5359 -0.4671 -0.4129 -0.3705 -0.3377
 -0.3126 -0.2938 -0.2794 -0.2684 -0.2601 -0.2520 -0.2533 -0.2513 -0.2501 -0.2589
 -0.2781 -0.3073 -0.3448 -0.3880 -0.4334 -0.4787 -0.5233 -0.5672 -0.6107 -0.6545
 -0.6991
 -1.1276 -0.9707 -0.8327 -0.7135 -0.6109 -0.5260 -0.4575 -0.4028 -0.3596 -0.3255
 -0.2986 -0.2776 -0.2613 -0.2487 -0.2459 -0.2078 -0.2128 -0.2353 -0.2387
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  i   
 -2.2198 -2.1335 -2.0493 -1.9562 -1.8209 -1.6419 -1.4264 -1.1804 -0.9317 -0.7608
 -0.6491 -0.5689 -0.5044 -0.4496 -0.4014 -0.3046 -0.2357 -0.1925 -0.1742
 -1.9702 -1.8729 -1.7865 -1.7009 -1.6039 -1.4807 -1.3101 -1.0852 -0.8834 -0.7360
 -0.6348 -0.5608 -0.5008 -0.4492 -0.4039 -0.3138 -0.2512 -0.2127 -0.1970 -0.2017
 -1.7729 -1.6604 -1.5667 -1.4832 -1.4001 -1.3048 -1.1790 -1.0082 -0.8438 -0.7150
 -0.6224 -0.5538 -0.4980 -0.4495 -0.4066 -0.3217 -0.2637 -0.2287 -0.2148 -0.2187
 -0.2371
 -1.6242 -1.4955 -1.3898 -1.3015 -1.2233 -1.1458 -1.0562 -0.9324 -0.8012 -0.6909
 -0.6073 -0.5445 -0.4934 -0.4486 -0.4083 -0.3278 -0.2734 -0.2412 -0.2287 -0.2324
 -0.2492 -0.2760
 -1.4940 -1.3641 -1.2517 -1.1565 -1.0756 -1.0044 -0.9356 -0.8511 -0.7513 -0.6599
