 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -4.5788 -4.0000 -3.4807 -3.0421 -2.6798 -2.3850 -2.1473 -1.9518 -1.7879 -1.6477
 -1.5256 -1.4178 -1.3209 -1.2332 -1.1530 -0.9654 -0.7822 -0.6305 -0.5155 -0.4287
 -0.3635 -0.3154 -0.2806 -0.2546 -0.2338 -0.2155 -0.1991 -0.1836 -0.1695 -0.1571
 -0.1473
 -4.5157 -3.9870 -3.5042 -3.0844 -2.7268 -2.4299 -2.1849 -1.9815 -1.8103 -1.6632
 -1.5346 -1.4207 -1.3186 -1.2261 -1.1413 -0.9551 -0.7859 -0.6351 -0.5170 -0.4282
 -0.3620 -0.3138 -0.2802 -0.2573 -0.2410 -0.2284 -0.2177 -0.2077 -0.1983 -0.1898
 -0.1825
 -4.4351 -3.9568 -3.5178 -3.1257 -2.7832 -2.4888 -2.2388 -2.0269 -1.8467 -1.6915
 -1.5558 -1.4355 -1.3276 -1.2302 -1.1452 -0.9389 -0.7883 -0.6417 -0.5197
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.5183 -6.1310 -5.7578 -5.3938 -5.0310 -4.6078 -4.0602 -3.3994 -2.8287 -2.3932
 -2.0757 -1.8412 -1.6580 -1.5062 -1.3754 -1.1119 -0.9042 -0.7293 -0.5756
 -6.1278 -5.7028 -5.2960 -4.9080 -4.5310 -4.1325 -3.6475 -3.1163 -2.6452 -2.2678
 -1.9778 -1.7560 -1.5798 -1.4329 -1.3057 -1.0485 -0.8507 -0.6889 -0.5521 -0.4341
 -5.8414 -5.3892 -4.9557 -4.5441 -4.1562 -3.7780 -3.3652 -2.9254 -2.5248 -2.1894
 -1.9203 -1.7071 -1.5349 -1.3903 -1.2645 -1.0096 -0.8166 -0.6634 -0.5356 -0.4269
 -0.3351
 -5.5109 -5.0845 -4.6660 -4.2601 -3.8719 -3.5049 -3.1459 -2.7761 -2.4306 -2.1314
 -1.8822 -1.6783 -1.5101 -1.3673 -1.2424 -0.9879 -0.7962 -0.6471 -0.5256 -0.4237
 -0.3381 -0.2662
 -5.2014 -4.6839 -4.2265 -3.8877 -3.5778 -3.2682 -2.9545 -2.6430 -2.3460 -2.0801
 -1.8513 -1.6584 -1.4958 -1.3558 -1.2321 -0.9775 -0.7850 -0.6376 -0.5200 -0.4233
 -0.3429 -0.2757 -0.2187 -0.1695
 -4.9763 -4.3556 -3.8813 -3.4946 -3.1768 -2.9101 -2.6813 -2.4644 -2.2424 -2.0226
 -1.8197 -1.6408 -1.4856 -1.3499 -1.2285 -0.9743 -0.7801 -0.6325 -0.5172 -0.4241
 -0.3482 -0.2855 -0.2328 -0.1873 -0.1475 -0.1122 -0.0816 -0.0560 -0.0368 -0.0278
 -4.8817 -4.2595 -3.7309 -3.2980 -2.9492 -2.6648 -2.4266 -2.2220 -2.0476 -1.8993
 -1.7593 -1.6160 -1.4755 -1.3459 -1.2280 -0.9757 -0.7794 -0.6304 -0.5159 -0.4253
 -0.3528 -0.2942 -0.2460 -0.2048 -0.1687 -0.1366 -0.1084 -0.0839 -0.0639 -0.0512
 -0.0486
 -4.9208 -4.2675 -3.6998 -3.2301 -2.8517 -2.5492 -2.3034 -2.0981 -1.9226 -1.7726
 -1.6472 -1.5419 -1.4418 -1.3360 -1.2274 -0.9801 -0.7818 -0.6305 -0.5154 -0.4261
 -0.3560 -0.3008 -0.2569 -0.2205 -0.1888 -0.1606 -0.1354 -0.1132 -0.0943 -0.0800
 -0.0737
 -4.9639 -4.3062 -3.7229 -3.2295 -2.8281 -2.5076 -2.2508 -2.0408 -1.8652 -1.7153
 -1.5858 -1.4742 -1.3785 -1.2932 -1.2082 -0.9835 -0.7848 -0.6308 -0.5142 -0.4251
 -0.3565 -0.3040 -0.2637 -0.2320 -0.2055 -0.1820 -0.1611 -0.1421 -0.1254 -0.1119
 -0.1030
 -4.9797 -4.3515 -3.7726 -3.2728 -2.8574 -2.5211 -2.2518 -2.0325 -1.8514 -1.6981
 -1.5659 -1.4503 -1.3481 -1.2575 -1.1761 -0.9827 -0.7919 -0.6350 -0.5157 -0.4253
 -0.3567 -0.3053 -0.2675 -0.2397 -0.2181 -0.2000 -0.1840 -0.1695 -0.1564 -0.1452
 -0.1366
 -4.9521 -4.3637 -3.8178 -3.3288 -2.9124 -2.5673 -2.2859 -2.0559 -1.8661 -1.7060
 -1.5683 -1.4479 -1.3411 -1.2455 -1.1589 -0.9717 -0.7977 -0.6411 -0.5185 -0.4258
 -0.3561 -0.3046 -0.2679 -0.2426 -0.2251 -0.2121 -0.2017 -0.1924 -0.1840 -0.1766
 -0.1705
 -4.8953 -4.3529 -3.8452 -3.3837 -2.9799 -2.6346 -2.3451 -2.1043 -1.9036 -1.7343
 -1.5889 -1.4617 -1.3490 -1.2483 -1.1566 -0.9505 -0.8022 -0.6491 -0.5226
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.7228 -6.3777 -6.0470 -5.7305 -5.4351 -5.0579 -4.4874 -3.7167 -3.0137 -2.4814
 -2.1094 -1.8447 -1.6472 -1.4897 -1.3573 -1.0938 -0.8910 -0.7222 -0.5745
 -6.3340 -5.9589 -5.6014 -5.2647 -4.9396 -4.5768 -4.0679 -3.4384 -2.8488 -2.3774
 -2.0283 -1.7738 -1.5813 -1.4273 -1.2972 -1.0389 -0.8427 -0.6847 -0.5504 -0.4339
 -6.0515 -5.6521 -5.2673 -4.9036 -4.5592 -4.2077 -3.7718 -3.2498 -2.7472 -2.3222
 -1.9906 -1.7396 -1.5476 -1.3937 -1.2640 -1.0062 -0.8127 -0.6603 -0.5340 -0.4259
 -0.3334
 -5.8139 -5.4038 -5.0055 -4.6235 -4.2600 -3.9091 -3.5337 -3.0979 -2.6663 -2.2852
 -1.9725 -1.7263 -1.5333 -1.3783 -1.2479 -0.9889 -0.7951 -0.6453 -0.5239 -0.4217
 -0.3350 -0.2617
 -5.4436 -5.0506 -4.6985 -4.3557 -4.0114 -3.6674 -3.3247 -2.9588 -2.5888 -2.2499
 -1.9599 -1.7219 -1.5302 -1.3739 -1.2427 -0.9818 -0.7861 -0.6367 -0.5181 -0.4202
 -0.3383 -0.2694 -0.2111 -0.1610
 -5.1684 -4.6727 -4.2621 -3.9236 -3.6345 -3.3694 -3.0984 -2.8041 -2.4981 -2.2052
 -1.9429 -1.7186 -1.5313 -1.3757 -1.2438 -0.9812 -0.7830 -0.6325 -0.5152 -0.4204
 -0.3423 -0.2775 -0.2232 -0.1767 -0.1366 -0.1018 -0.0716 -0.0462 -0.0277 -0.0190
 -5.0797 -4.5064 -4.0177 -3.6141 -3.2827 -3.0025 -2.7558 -2.5301 -2.3168 -2.1085
 -1.9018 -1.7059 -1.5311 -1.3794 -1.2484 -0.9849 -0.7840 -0.6313 -0.5141 -0.4211
